filename,personaje,tema,texto,emocion,formato,origen_clasificacion
Universe - Existencial 260523.png,Universe,Reflexivo,Un mundo nace cuando dos se ghost,Resignación,Frase + imagen,
Universe - Existencial 260524.png,Universe,Relatable,Tus primeros 6,Resignación,Frase + imagen,
Universe - Existencial 260527.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260528.png,Universe,Relatable,"Ya duérmete,",Resignación,Frase + imagen,
Universe - Existencial 260529.png,Ninguno,Absurdo,CRAWWWWWWW,Resignación,Frase + imagen,
Universe - Existencial 260530.png,Universe,Sarcástico,"Buenos días, legion",Resignación,Frase + imagen,
Universe - Existencial 260531.png,Elara,Relatable,Podríamos juntarnos los fines para,Resignación,Frase + imagen,
Universe - Existencial 260532.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260533.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260534.png,Mixto,Relatable,"Ándale, enamórate",Resignación,Frase + imagen,
Universe - Existencial 260535.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260536.png,Mixto,Emocional,dormir juntos es una cita,Resignación,Frase + imagen,
Universe - Existencial 260537.png,Universe,Relatable,Si conectan muy rápido y empiezan,Resignación,Frase + imagen,
Universe - Existencial 260538.png,Universe,Relatable,"Hola, ¿Puedo ir a",Resignación,Frase + imagen,
Universe - Existencial 260539.png,Mixto,Absurdo,Te mereces unos,Resignación,Frase + imagen,
Universe - Existencial 260540.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260541.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260542.png,Universe,Relatable,"Si está cool ser adulto, pero tampoco",Resignación,Frase + imagen,
Universe - Existencial 260543.png,Universe,Relatable,Ya te enseñé mi,Resignación,Frase + imagen,
Universe - Existencial 260544.png,Mixto,Absurdo,A,Resignación,Frase + imagen,
Universe - Existencial 260545.png,Elara,Sarcástico,¿Hola?,Resignación,Frase + imagen,
Universe - Existencial 260546.png,Wilfred,Relatable,De tanto esconder mis sentimientos ya ni sé,Resignación,Frase + imagen,
Universe - Existencial 260547.png,Universe,Absurdo,si lees esto tu,Resignación,Frase + imagen,
Universe - Existencial 260548.png,Wilfred,Reflexivo,ME VALE VRGA QUIEN LO,Resignación,Frase + imagen,
Universe - Existencial 260549.png,Elara,Emocional,El amor se debe sentir como,Resignación,Frase + imagen,
Universe - Existencial 260550.png,Wilfred,Relatable,Que pasa si hago,Resignación,Frase + imagen,
Universe - Existencial 260551.png,Mixto,Relatable,TE VES RICA! PER,Resignación,Frase + imagen,
Universe - Existencial 260553.png,Mixto,Sarcástico,NO,Resignación,Frase + imagen,
Universe - Existencial 260554.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260555.png,Universe,Absurdo,FELIZ DIA DE,Resignación,Frase + imagen,
Universe - Existencial 260556.png,Wilfred,Emocional,Yo Tu car,Resignación,Frase + imagen,
Universe - Existencial 260557.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260558.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260559.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260560.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260561.png,Mixto,Relatable,ME ENCANTA COMO,Resignación,Frase + imagen,
Universe - Existencial 260562.png,Universe,Relatable,Mi protector solar favorito es no salir,Resignación,Frase + imagen,
Universe - Existencial 260563.png,Universe,Emocional,Que curioso que ahora para poder verte,Resignación,Frase + imagen,
Universe - Existencial 260564.png,Universe,Emocional,"Hay un jardín en mi corazón,",Resignación,Frase + imagen,
Universe - Existencial 260565.png,Universe,Reflexivo,iridescence burbujas de,Resignación,Frase + imagen,
Universe - Existencial 260566.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260567.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260568.png,Universe,Absurdo,Harry Potter y el misterio de,Resignación,Frase + imagen,
Universe - Existencial 260569.png,Universe,Sarcástico,como que me vas a,Resignación,Frase + imagen,
Universe - Existencial 260570.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260571.png,Elara,Relatable,La adultez es,Resignación,Frase + imagen,
Universe - Existencial 260572.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260573.png,Universe,Sarcástico,La cáscara aquí significa,Resignación,Frase + imagen,
Universe - Existencial 260574.png,Mixto,Absurdo,Amor ya estoy lleno,Resignación,Frase + imagen,
Universe - Existencial 260575.png,Universe,Sarcástico,Sin texto,Resignación,Frase + imagen,
Universe - Existencial 260576.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260577.png,Fantasma,Relatable,yo violencia amor caos ton,Resignación,Frase + imagen,
Universe - Existencial 260578.png,Mixto,Absurdo,,Resignación,Frase + imagen,
Universe - Existencial 260579.png,Universe,Relatable,No olvides las 3 vr,Resignación,Frase + imagen,
Universe - Existencial 260580.png,Universe,Relatable,La mente del wey que,Resignación,Frase + imagen,
Universe - Existencial 260581.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260583.png,Wilfred,Relatable,Te mereces lo mejor del mundo,Resignación,Frase + imagen,
Universe - Existencial 260584.png,Universe,Filosófico,MAPA SIMBÓ,Resignación,Frase + imagen,
Universe - Existencial 260585.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260586.png,Universe,Relatable,Tu vida sexo-af,Resignación,Frase + imagen,
Universe - Existencial 260587.png,Universe,Relatable,Si me pagaran por sacar,Resignación,Frase + imagen,
Universe - Existencial 260588.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260589.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260590.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260591.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260592.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260593.png,Wilfred,Sarcástico,"Muros vemos... Inbox,",Resignación,Frase + imagen,
Universe - Existencial 260594.jpg,Ninguno,Absurdo,+69,Resignación,Frase + imagen,
Universe - Existencial 260594.png,Elara,Relatable,ESTE DISEÑO URGE PARA,Resignación,Frase + imagen,
Universe - Existencial 260595.png,Wilfred,Absurdo,IMAGÍNATE ODI,Resignación,Frase + imagen,
Universe - Existencial 260596.png,Universe,Absurdo,Desde aquí posteo,Resignación,Frase + imagen,
Universe - Existencial 260597.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260598.png,Fantasma,Relatable,Ya me cans,Resignación,Frase + imagen,
Universe - Existencial 260599.png,Universe,Sarcástico,La sociedad si MTV nunca hubiera,Resignación,Frase + imagen,
Universe - Existencial 260600.png,Universe,Relatable,Difíciles de tragar pastillas,Resignación,Frase + imagen,
Universe - Existencial 260601.png,Universe,Relatable,un gato ignoró mi ,Resignación,Frase + imagen,
Universe - Existencial 260602.png,Universe,Existencial,espero que mi futuro,Resignación,Frase + imagen,
Universe - Existencial 260603.png,Ninguno,Relatable,Yo y mis gustos culpos,Resignación,Frase + imagen,
Universe - Existencial 260605.png,Universe,Emocional,La vida me pide mucho,Resignación,Frase + imagen,
Universe - Existencial 260606.png,Universe,Reflexivo,RARO es solo otra palabra,Resignación,Frase + imagen,
Universe - Existencial 260607.png,Wilfred,Relatable,yo tú pues quién más,Resignación,Frase + imagen,
Universe - Existencial 260608.png,Universe,Relatable,"Hola, se que ya no",Resignación,Frase + imagen,
Universe - Existencial 260609.png,Universe,Relatable,Objetivo: desapegarme de,Resignación,Frase + imagen,
Universe - Existencial 260610.png,Elara,Relatable,Ahorita no corazón,Resignación,Frase + imagen,
Universe - Existencial 260611.png,Universe,Reflexivo,A veces dar de más no hace que,Resignación,Frase + imagen,
Universe - Existencial 260612.png,Universe,Sarcástico,Tuv,Resignación,Frase + imagen,
Universe - Existencial 260613.png,Universe,Existencial,CÓMO LE HAGO,Resignación,Frase + imagen,
Universe - Existencial 260614.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260615.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260616.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260617.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260618.png,Universe,Absurdo,Con esta manito te nalg,Resignación,Frase + imagen,
Universe - Existencial 260619.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260620.png,Fantasma,Sarcástico,Vengo a darte y,Resignación,Frase + imagen,
Universe - Existencial 260621.png,Universe,Absurdo,LO CACHON,Resignación,Frase + imagen,
Universe - Existencial 260622.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260623.png,Elara,Relatable,"Gente, Dis",Resignación,Frase + imagen,
Universe - Existencial 260624.png,Fantasma,Sarcástico,Desde que decidí no,Resignación,Frase + imagen,
Universe - Existencial 260625.png,Ninguno,Relatable,EL CAMBIO DA MIED,Resignación,Frase + imagen,
Universe - Existencial 260626.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260627.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260628.png,Universe,Relatable,A esta edad me duele más andar,Resignación,Frase + imagen,
Universe - Existencial 260629.png,Elara,Reflexivo,Uno solo le,Resignación,Frase + imagen,
Universe - Existencial 260630.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260631.png,Fantasma,Reflexivo,Desapégate de todo lo,Resignación,Frase + imagen,
Universe - Existencial 260632.png,Wilfred,Relatable,Hechizandote,Resignación,Frase + imagen,
Universe - Existencial 260633.png,Universe,Emocional,Deseo que nunca tengas que,Resignación,Frase + imagen,
Universe - Existencial 260634.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260635.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260636.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260637.png,Elara,Reflexivo,"Búscame cuando madures,",Resignación,Frase + imagen,
Universe - Existencial 260638.png,Universe,Relatable,Estar soltero es padrísimo,Resignación,Frase + imagen,
Universe - Existencial 260639.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260640.png,Ninguno,Relatable,El de la licor,Resignación,Frase + imagen,
Universe - Existencial 260641.png,Universe,Reflexivo,Hay gente que no te puede,Resignación,Frase + imagen,
Universe - Existencial 260642.png,Mixto,Reflexivo,Realmente puedes sentir la naturaleza,Resignación,Frase + imagen,
Universe - Existencial 260643.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260644.png,Universe,Relatable,Yo despues de tomarme,Resignación,Frase + imagen,
Universe - Existencial 260645.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260648.png,Wilfred,Absurdo,Yo: ¿Es,Resignación,Frase + imagen,
Universe - Existencial 260649.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260650.png,Wilfred,Relatable,en mi mente no sonaba tan fun,Resignación,Frase + imagen,
Universe - Existencial 260651.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260652.png,Wilfred,Relatable,Cuando tienes que comenzar a vig,Resignación,Frase + imagen,
Universe - Existencial 260653.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260654.png,Kiri,Absurdo,Visualizando en el espejo,Resignación,Frase + imagen,
Universe - Existencial 260658.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260659.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260660.png,Universe,Relatable,No pensé que fuera,Resignación,Frase + imagen,
Universe - Existencial 260663.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260664.png,Elara,Relatable,No money for despapaye,Resignación,Frase + imagen,
Universe - Existencial 260665.png,Universe,Relatable,Mis gastos hormiga: Creo,Resignación,Frase + imagen,
Universe - Existencial 260667.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260668.png,Ninguno,Relatable,volví tonotos no traigo,Resignación,Frase + imagen,
Universe - Existencial 260669.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260670.png,Universe,Absurdo,Can I eat you,Resignación,Frase + imagen,
Universe - Existencial 260671.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260673.png,Universe,Relatable,Si me necesitan,Resignación,Frase + imagen,
Universe - Existencial 622.png,Ninguno,Relatable,Enví,Resignación,Frase + imagen,
Universe - Existencial 702.png,Wilfred,Absurdo,Ninfómana A-,Resignación,Frase + imagen,
Universe - Existencial 741.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 742.png,Universe,Emocional,A LA CAZA DE BUEN,Resignación,Frase + imagen,
Universe - Existencial 743.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
escena_7.png,Wilfred,Emocional,Escribí tus iniciales,Resignación,Frase + imagen,
humor3.3.png,Mixto,Sarcástico,No te estoy coquete,Resignación,Frase + imagen,
humor4.02.png,Ninguno,Sarcástico,mi ascenso a la loc,Resignación,Frase + imagen,
humor4.16.png,Universe,Sarcástico,No mientas eso no,Resignación,Frase + imagen,
humor4.18.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
proposal_1.jpg,Universe,Relatable,Sleeping is for the weak / I am the weak. Good night,Resignación,Frase + imagen,Vision (Manus)
proposal_2.jpg,Ninguno,Filosófico,"Una vez muerta la idealización, solo eras cualquier persona",Melancolía,Caricatura con texto,Vision (Manus)
proposal_3.jpg,Fantasma,Meta-humor,Ghost of You.,Melancolía,Solo imagen,Vision (Manus)
