post_id,local_date,local_time,weekday,format,interactions,reactions,comments,shares,message,asset_ref,piece_id,publication_id,planned_type,planned_caption_type,experiment_id,mapped_publication_log,mapped_calendar_slot
1036844829507460_122151374019072582,2026-08-17,19:00,Monday,Image_or_post,347,237,4,106,🌲🤪😂 #WilfredUSM #MemesUSM #UniverseSentMe,2608029 - Wilfred - Quiero loquiar.jpeg,,PUB-FB-17_30-06,Nueva,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,True,True
1036844829507460_122151374085072582,2026-08-18,10:00,Tuesday,Image_or_post,13,10,0,3,🎢😵‍💫💼 #MemesUSM #UniverseSentMe,260646 - No sean asi.. (14-jun-26).png,,PUB-FB-17_30-07,Reuse_Top,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,True,True
1036844829507460_122151374157072582,2026-08-18,11:00,Tuesday,Image_or_post,64,52,4,8,✍️📝😂 #UniverseUSM #MemesUSM #UniverseSentMe,2608046 - Universe - Mis firmas no se parecen.jpeg,,PUB-FB-17_30-08,Nueva,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,True,True
1036844829507460_122151374217072582,2026-08-18,13:30,Tuesday,Image_or_post,56,39,3,14,🤡🐱💥 #UniverseUSM #MemesUSM #UniverseSentMe,260735 - Universe - dentro de ti hay dos payasos (10-jun-26).png,,PUB-FB-17_30-09,Reuse_Top,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,True,True
1036844829507460_122151374289072582,2026-08-18,16:00,Tuesday,Image_or_post,24,19,2,3,🗺️🏍️🌊 #EvanUSM #MemesUSM #UniverseSentMe,2608052 - Evan - Yo confiando en Google Maps.jpeg,,PUB-FB-17_30-10,Nueva,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,True,True
1036844829507460_122151374367072582,2026-08-18,17:00,Tuesday,Image_or_post,41,26,1,14,😒 #UniverseSentMe,260644 - Universe.png,,PUB-FB-17_30-11,Reuse_Top,Emoji_Minimo,EXP-2026-08-CAL-01,True,True
1036844829507460_122151374457072582,2026-08-18,19:00,Tuesday,Image_or_post,3,3,0,,"🧚‍♀️💋✨ Tu maldición y solo se romperá con un beso en los labios. Luego, tomarás la forma del amor verdadero. #KiriUSM #MemesUSM #Universe #KiriUSM #MemesUSM #Universe #UniverseSentMe",2608032 - Kiri - Para romper el echizo tendras que besarla en los labios.jpeg,,PUB-FB-17_30-12,Nueva,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,True,True
1036844829507460_122151374517072582,2026-08-19,10:00,Wednesday,Image_or_post,76,65,3,8,🫠 #UniverseSentMe,260515 - Universe.png,,PUB-FB-17_30-13,Reuse_Top,Emoji_Minimo,EXP-2026-08-CAL-01,True,True
1036844829507460_122151374589072582,2026-08-19,11:00,Wednesday,Image_or_post,36,28,3,5,👻🤷‍♂️😂 #FantasmaUSM #MemesUSM #UniverseSentMe,2608061 - Fantasma - acaso parezco alguien que quiere ser genial.jpeg,,PUB-FB-17_30-14,Nueva,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,True,True
1036844829507460_122151374655072582,2026-08-19,13:30,Wednesday,Image_or_post,8,7,0,1,Esperando octubre… 👻 #UniverseSentMe,260560 - Fantasma.png,,PUB-FB-17_30-15,Reuse_Top,Frase_Corta,EXP-2026-08-CAL-01,True,True
1036844829507460_122151374745072582,2026-08-19,16:00,Wednesday,Image_or_post,51,40,2,9,😅🎭🙃 #MaeveUSM #SilvioUSM #UniverseSentMe,2608031 - Maeve+Silvio - Risas falsas.jpeg,,PUB-FB-17_30-16,Nueva,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,True,True
1036844829507460_122151374823072582,2026-08-19,17:00,Wednesday,Image_or_post,197,160,8,29,🌈💔🫶 #UniverseUSM #MomentosUSM #UniverseSentMe,260733 - Evan - Yo aura fuerte (10-jun-26).png,,PUB-FB-17_30-17,Reuse_Top,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,True,True
1036844829507460_122151374919072582,2026-08-19,19:00,Wednesday,Image_or_post,27,24,1,2,🌙🌲✨ #WilfredUSM #MomentosUSM #UniverseSentMe,2608040- Wilfred - el universo me susurro en sueños.jpeg,,PUB-FB-17_30-18,Nueva,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,True,True
1036844829507460_122153090559072582,2026-08-19,19:03,Wednesday,Reel,2,2,0,,"Yo: “no pasa nada”. Universe, dos segundos después: 🟣 Si tu chat también abre portales dimensionales, no estás solo. #UniverseSentMe #UniverseUSM #MemesUSM",,,,,,,False,False
1036844829507460_122151374997072582,2026-08-20,10:00,Thursday,Image_or_post,80,54,0,26,😳🧠🐱 #UniverseUSM #MemesUSM #UniverseSentMe,2607794 - Universe - Aver.. A ver... (22-jun-26).png,,PUB-FB-17_30-19,Reuse_Top,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,True,True
1036844829507460_122151375111072582,2026-08-20,11:00,Thursday,Image_or_post,81,54,2,25,💸🪿😂 #GansoUSM #MemesUSM #UniverseSentMe,2608038- Ganso - Mejor pudriendome en dinero.jpeg,,PUB-FB-17_30-20,Nueva,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,True,True
1036844829507460_122151375189072582,2026-08-20,13:30,Thursday,Image_or_post,38,29,5,4,🤨 #UniverseSentMe,260659 - Universe.png,,PUB-FB-17_30-21,Reuse_Top,Emoji_Minimo,EXP-2026-08-CAL-01,True,True
1036844829507460_122151375303072582,2026-08-20,16:00,Thursday,Image_or_post,36,24,3,9,🧠🌲🤨 #WilfredUSM #MemesUSM #UniverseSentMe,2608056 - Wilfred - Analize tu contexto.jpeg,,PUB-FB-17_30-22,Nueva,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,True,True
1036844829507460_122151375375072582,2026-08-20,17:00,Thursday,Image_or_post,55,40,2,13,🫣 #UniverseSentMe,260508 - Universe.jpg,,PUB-FB-17_30-23,Reuse_Top,Emoji_Minimo,EXP-2026-08-CAL-01,True,True
1036844829507460_122153750763072582,2026-08-20,18:04,Thursday,Reel,11,7,1,3,Hay personas que se quedan en el retrovisor aunque ya no vayan contigo. Remote Control — Sussie 4 ft. León Larregui. ¿Qué canción te lleva de vuelta sin pedir permiso? #UniverseSentMe #EvanUSM #ElaraUSM #MomentosUSM #Sussie4 #leonlarregui,,,,,,,False,False
1036844829507460_122151375465072582,2026-08-20,19:00,Thursday,Image_or_post,34,28,2,4,💞🫶✨ #MaeveUSM #KaelUSM #UniverseSentMe,2608041 - Maeve+kael - No me averguenza amar.jpeg,,PUB-FB-17_30-24,Nueva,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,True,True
1036844829507460_122151375549072582,2026-08-21,10:00,Friday,Image_or_post,277,196,2,79,☁️✨🤔,2607838 - Dios - Quien me creo a mi (29-jun-26).png,,PUB-FB-17_30-25,Reuse_Top,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,True,True
1036844829507460_122151375627072582,2026-08-21,11:00,Friday,Image_or_post,143,107,1,35,🙂‍↔️ #UniverseSentMe,260635 - Universe.png,,PUB-FB-17_30-26,Reuse_Top,Emoji_Minimo,EXP-2026-08-CAL-01,True,True
1036844829507460_122151375759072582,2026-08-21,13:30,Friday,Image_or_post,37,25,2,10,☕💌🔥 #ElaraUSM #MemesUSM #UniverseSentMe,2608049 - Elara - Tibio tu cafe.jpeg,,PUB-FB-17_30-27,Nueva,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,True,True
1036844829507460_122154017667072582,2026-08-21,16:30,Friday,Reel,12,10,1,1,Universe viéndote Farmear Aura #UniverseSentMe #UniverseUSM,,,,,,,False,False
1036844829507460_122151375843072582,2026-08-21,19:00,Friday,Image_or_post,117,86,3,28,Analizando mi propio caos. 🧐 #UniverseSentMe,260614 - Universe.png,,PUB-FB-17_30-28,Reuse_Top,Frase_Corta,EXP-2026-08-CAL-01,True,True
1036844829507460_122151375927072582,2026-08-22,10:00,Saturday,Image_or_post,53,41,4,8,💪📸😂 #UniverseUSM #MemesUSM #UniverseSentMe,2608050 - Universe - A ponerse en forma.jpeg,,PUB-FB-DAILY-20260822-1000,Nueva,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,True,True
1036844829507460_122151376011072582,2026-08-22,11:00,Saturday,Image_or_post,28,13,12,3,😌 #UniverseSentMe,260589.png,,PUB-FB-DAILY-20260822-1100,Reuse_Top,Emoji_Minimo,EXP-2026-08-CAL-01,True,True
1036844829507460_122151376083072582,2026-08-22,13:30,Saturday,Image_or_post,40,31,5,4,😏🙈😂 #UniverseUSM #MemesUSM #UniverseSentMe,2608063 - Universe - Larga vida a esas mujeres.jpeg,,PUB-FB-DAILY-20260822-1330,Nueva,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,True,True
1036844829507460_122154842337072582,2026-08-22,17:23,Saturday,Reel,18,14,2,2,Ella no está disponible en este plano. 👀 #UniverseSentMe #ElaraUSM #letithappen #tameimpala,,,,,,,False,False
1036844829507460_122151376203072582,2026-08-22,19:00,Saturday,Image_or_post,8,7,0,1,🌙 #UniverseSentMe,260510 - Universe.png,,PUB-FB-DAILY-20260822-1900,Reuse_Top,Emoji_Minimo,EXP-2026-08-CAL-01,True,True
1036844829507460_122154733605072582,2026-08-22,22:00,Saturday,Image_or_post,5,3,1,1,😔 #GansoUSM #MemesUSM #UniverseSentMe,Universe - Existencial 2607828.png,CNT-083,PUB-FB-DAILY-20260822-2200,Reuse_Top,Caption_Minimo_Kit_USM,EXP-2026-08-CAL-01,True,True
