Review_Batch,Meta_Priority_Rank,Meta_Post_ID,Meta_Reel_ID,Publication_UTC,Engagement,Meta_Caption,Candidate_Rank,Drive_File_ID,Drive_File_Name,Drive_Folder_Path,Drive_MimeType,Drive_Created_UTC,Drive_Duration_ms,Date_Delta_Days,Meaningful_Token_Overlap,Triage_Score,Review_Status
TOP5,3,1036844829507460_122128512777072582,1014879604586494,2026-06-09T15:36:25+0000,20,Consejo del día,4,15nHZZftnESgshlLevc0gK8N0zSqEq6Pp,Universe sent me - 022.png,INSTAGRAM,image/png,2026-06-10T21:41:45.750Z,,1.25,,18.75,Needs_visual_review
TOP5,3,1036844829507460_122128512777072582,1014879604586494,2026-06-09T15:36:25+0000,20,Consejo del día,5,1Ehu7kSMzKMxlPGJVGkiyGoJLnyYHv_B0,Universe Real - 008.mp4,INSTAGRAM,video/mp4,2026-06-11T22:19:14.629Z,9999,2.28,,18.72,Needs_visual_review
TOP5,4,1036844829507460_122123203887072582,4244177002465660,2026-05-23T16:30:34+0000,19,"Esa gente que me cae mal y no me habla, me cae bien ✨",1,1HFzRgE6keLuzBsH7LXFGhVi-cRxiqEAq,1 - Fantasma_frozen_in_forest_202608051814.mp4,08 Agosto/CNT 015 - Fantasma - Viendo a la gente pasar en el bosque,video/mp4,2026-08-05T23:14:53.731Z,3999,74.28,gente,101,Needs_visual_review
TOP5,4,1036844829507460_122123203887072582,4244177002465660,2026-05-23T16:30:34+0000,19,"Esa gente que me cae mal y no me habla, me cae bien ✨",2,1gMzgUTWj6pjSk1Ly302uu60oIec4pTs1,2 - Fantasma_and_couple_in_forest_202608051849.mp4,08 Agosto/CNT 015 - Fantasma - Viendo a la gente pasar en el bosque,video/mp4,2026-08-05T23:49:40.119Z,5999,74.3,gente,101,Needs_visual_review
TOP5,4,1036844829507460_122123203887072582,4244177002465660,2026-05-23T16:30:34+0000,19,"Esa gente que me cae mal y no me habla, me cae bien ✨",3,1BCD-xZXdt3ZEfQUWmPJXBcwc4tPRfOjB,3 - Fantasma_face_with_sunglasses_dark_202608051851.mp4,08 Agosto/CNT 015 - Fantasma - Viendo a la gente pasar en el bosque,video/mp4,2026-08-05T23:51:00.368Z,5999,74.31,gente,101,Needs_visual_review
TOP5,4,1036844829507460_122123203887072582,4244177002465660,2026-05-23T16:30:34+0000,19,"Esa gente que me cae mal y no me habla, me cae bien ✨",4,188pysIihyxZloBCq62C76fRU_njNkvhF,4 - Fantasma_hovering_over_autumn_leaves_202608051852.mp4,08 Agosto/CNT 015 - Fantasma - Viendo a la gente pasar en el bosque,video/mp4,2026-08-05T23:52:04.592Z,5999,74.31,gente,101,Needs_visual_review
TOP5,4,1036844829507460_122123203887072582,4244177002465660,2026-05-23T16:30:34+0000,19,"Esa gente que me cae mal y no me habla, me cae bien ✨",5,1QNH3xKYkgVeXfSNbokAWEOlGwVqcl-BM,3 - Ghost_face_with_sunglasses_dark_202608062115.mp4,08 Agosto/CNT 015 - Fantasma - Viendo a la gente pasar en el bosque,video/mp4,2026-08-07T02:15:42.752Z,5999,75.41,gente,101,Needs_visual_review
TOP5,5,1036844829507460_122125202205072582,1314043717583273,2026-06-01T03:35:20+0000,19,Se te nota...,1,1tE84FJLyLNwqELa5E23_7Tn5dvDwN_WI,Wilfred realista haciendo una posion.mp4,,video/mp4,2026-06-04T20:32:20.064Z,7999,3.71,,17.29,Needs_visual_review
TOP5,5,1036844829507460_122125202205072582,1314043717583273,2026-06-01T03:35:20+0000,19,Se te nota...,2,11R4SnZUnPc63fj-Gqbu2TtphiBOa357q,Universe sent me - 001.png,INSTAGRAM,image/png,2026-06-03T23:08:06.656Z,,2.81,,17.19,Needs_visual_review
TOP5,5,1036844829507460_122125202205072582,1314043717583273,2026-06-01T03:35:20+0000,19,Se te nota...,3,1bHcZ24HjBewz2l0bt1XNf2wk6kdhDKoM,Universe sent me - 002.png,INSTAGRAM,image/png,2026-06-03T23:10:50.582Z,,2.82,,17.18,Needs_visual_review
TOP5,5,1036844829507460_122125202205072582,1314043717583273,2026-06-01T03:35:20+0000,19,Se te nota...,4,1LYnpKq7qqjOGSK6AaWJWP7vWJBaX561c,Universe sent me - 003.png,INSTAGRAM,image/png,2026-06-03T23:13:21.029Z,,2.82,,17.18,Needs_visual_review
TOP5,5,1036844829507460_122125202205072582,1314043717583273,2026-06-01T03:35:20+0000,19,Se te nota...,5,12gK6J-SwKYMisEpSAV31DCJGl_mW2uZ_,Universe sent me - 004.png,INSTAGRAM,image/png,2026-06-03T23:33:37.880Z,,2.83,,17.17,Needs_visual_review
