Alias_ID,Asset_Key,Inventory_ID,Inventory_Asset_Ref,Inventory_Asset_Filename,Drive_ID,Publication_ID,Publication_Asset_Ref,Plataforma,Meta_Post_ID,Meta_Photo_ID,Permalink,Fecha_Planeada_Local,Hora_Planeada_Local,Fecha_Publicacion_Local,Hora_Publicacion_Local,Estado_Publicacion,Match_Method,Confidence,Source,Notes,Review_Category,Recommended_Action,Local_Evidence_Status,Local_Evidence_Paths,Resolution_Status,Resolution_Next_Action
ALIAS-0031,2608040,,,,,PUB-FB-17_30-18,2608040- Wilfred - el universo me susurro en sueños.jpeg,Facebook,1036844829507460_122151374919072582,122151374877072582,https://www.facebook.com/122146890051072582/posts/122151374919072582,2026-08-19,19:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",Local_File_Verified,/home/ubuntu/calendar_visual_review_20260816/2608040__2608040- Wilfred - el universo me susurro en sueños.jpeg,Asset_Identity_Verified_Inventory_Row_Missing,Create or approve a non-CNT inventory row/alias; do not infer CNT from filename.
ALIAS-0033,2608038,,,,,PUB-FB-17_30-20,2608038- Ganso - Mejor pudriendome en dinero.jpeg,Facebook,1036844829507460_122151375111072582,122151375045072582,https://www.facebook.com/122146890051072582/posts/122151375111072582,2026-08-20,11:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",Local_File_Verified,/home/ubuntu/calendar_visual_review_20260816/2608038__2608038- Ganso - Mejor pudriendome en dinero.jpeg,Asset_Identity_Verified_Inventory_Row_Missing,Create or approve a non-CNT inventory row/alias; do not infer CNT from filename.
ALIAS-0035,2608056,,,,,PUB-FB-17_30-22,2608056 - Wilfred - Analize tu contexto.jpeg,Facebook,1036844829507460_122151375303072582,122151375231072582,https://www.facebook.com/122146890051072582/posts/122151375303072582,2026-08-20,16:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",Local_File_Verified,/home/ubuntu/calendar_visual_review_20260816/2608056__2608056 - Wilfred - Analize tu contexto.jpeg,Asset_Identity_Verified_Inventory_Row_Missing,Create or approve a non-CNT inventory row/alias; do not infer CNT from filename.
ALIAS-0036,260508,CNT-042,260508,260508 - Universe.jpg,1c_AQFPbigiR39cH7f39h2MzCFvQL799b,PUB-FB-17_30-23,260508 - Universe.jpg,Facebook,1036844829507460_122151375375072582,122151375345072582,https://www.facebook.com/122146890051072582/posts/122151375375072582,2026-08-20,17:00,,,Programada,Exact_normalized_filename_and_asset_ref,High,Content_Inventory.csv + Publication_Log.csv,2 inventory rows share the normalized key; no automatic selection should be treated as canonical.,Resolved_Exact_Filename,No further action; use existing inventory row and do not create CNT.,Local_File_Verified,,Resolved_Inventory_Exact_Filename,No further action in this cut.
ALIAS-0037,2608041,,,,,PUB-FB-17_30-24,2608041 - Maeve+kael - No me averguenza amar.jpeg,Facebook,1036844829507460_122151375465072582,122151375435072582,https://www.facebook.com/122146890051072582/posts/122151375465072582,2026-08-20,19:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",Local_File_Verified,/home/ubuntu/calendar_visual_review_20260816/2608041__2608041 - Maeve+kael - No me averguenza amar.jpeg,Asset_Identity_Verified_Inventory_Row_Missing,Create or approve a non-CNT inventory row/alias; do not infer CNT from filename.
ALIAS-0038,2607838,,,,,PUB-FB-17_30-25,2607838 - Dios - Quien me creo a mi (29-jun-26).png,Facebook,1036844829507460_122151375549072582,122151375525072582,https://www.facebook.com/122146890051072582/posts/122151375549072582,2026-08-21,10:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",No_Local_File_Match,,Evidence_Not_Found_Local,Request evidence before changing inventory.
ALIAS-0040,2608049,,,,,PUB-FB-17_30-27,2608049 - Elara - Tibio tu cafe.jpeg,Facebook,1036844829507460_122151375759072582,122151375705072582,https://www.facebook.com/122146890051072582/posts/122151375759072582,2026-08-21,13:30,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",Local_File_Verified,/home/ubuntu/calendar_visual_review_20260816/2608049__2608049 - Elara - Tibio tu cafe.jpeg,Asset_Identity_Verified_Inventory_Row_Missing,Create or approve a non-CNT inventory row/alias; do not infer CNT from filename.
ALIAS-0042,2608050,,,,,PUB-FB-17_30-29,2608050 - Universe - A ponerse en forma.jpeg,Facebook,1036844829507460_122151375927072582,122151375885072582,https://www.facebook.com/122146890051072582/posts/122151375927072582,2026-08-22,10:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",Local_File_Verified,/home/ubuntu/calendar_visual_review_20260816/2608050__2608050 - Universe - A ponerse en forma.jpeg,Asset_Identity_Verified_Inventory_Row_Missing,Create or approve a non-CNT inventory row/alias; do not infer CNT from filename.
ALIAS-0044,2608063,,,,,PUB-FB-17_30-31,2608063 - Universe - Larga vida a esas mujeres.jpeg,Facebook,1036844829507460_122151376083072582,122151376053072582,https://www.facebook.com/122146890051072582/posts/122151376083072582,2026-08-22,13:30,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",Local_File_Verified,/home/ubuntu/calendar_visual_review_20260816/2608063__2608063 - Universe - Larga vida a esas mujeres.jpeg,Asset_Identity_Verified_Inventory_Row_Missing,Create or approve a non-CNT inventory row/alias; do not infer CNT from filename.
ALIAS-0046,2608035,,,,,PUB-FB-17_30-33,2608035- Maeve - La necesidad de enloquecer.jpeg,Facebook,1036844829507460_122151376281072582,122151376245072582,https://www.facebook.com/122146890051072582/posts/122151376281072582,2026-08-23,10:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",Local_File_Verified,/home/ubuntu/calendar_visual_review_20260816/2608035__2608035- Maeve - La necesidad de enloquecer.jpeg,Asset_Identity_Verified_Inventory_Row_Missing,Create or approve a non-CNT inventory row/alias; do not infer CNT from filename.
ALIAS-0047,260508,CNT-043,260508,Universe - Existencial 260508.png,1c_AQFPbigiR39cH7f39h2MzCFvQL799b,PUB-FB-17_30-34,Universe - Existencial 260508.png,Facebook,1036844829507460_122151376365072582,122151376329072582,https://www.facebook.com/122146890051072582/posts/122151376365072582,2026-08-23,13:30,,,Programada,Exact_normalized_filename_and_asset_ref,High,Content_Inventory.csv + Publication_Log.csv,2 inventory rows share the normalized key; no automatic selection should be treated as canonical.,Resolved_Exact_Filename,No further action; use existing inventory row and do not create CNT.,Local_File_Verified,,Resolved_Inventory_Exact_Filename,No further action in this cut.
ALIAS-0048,2608057,,,,,PUB-FB-17_30-35,2608057 - Fantasma - Sabes que me caeria bien.jpeg,Facebook,1036844829507460_122151376455072582,122151376413072582,https://www.facebook.com/122146890051072582/posts/122151376455072582,2026-08-23,16:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",Local_File_Verified,/home/ubuntu/calendar_visual_review_20260816/2608057__2608057 - Fantasma - Sabes que me caeria bien.jpeg,Asset_Identity_Verified_Inventory_Row_Missing,Create or approve a non-CNT inventory row/alias; do not infer CNT from filename.
ALIAS-0049,260757,,,,,PUB-FB-17_30-36,260757 - Maeve - Estas seguro¿ (14-jun-26).png,Facebook,1036844829507460_122151376539072582,122151376503072582,https://www.facebook.com/122146890051072582/posts/122151376539072582,2026-08-23,19:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",No_Local_File_Match,,Evidence_Not_Found_Local,Request evidence before changing inventory.
ALIAS-0051,260661,,,,,PUB-FB-17_30-38,Universe - Existencial 260661.png,Facebook,1036844829507460_122151376695072582,122151376659072582,https://www.facebook.com/122146890051072582/posts/122151376695072582,2026-08-24,10:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",No_Local_File_Match,,Evidence_Not_Found_Local,Request evidence before changing inventory.
ALIAS-0053,2608048,,,,,PUB-FB-17_30-40,2608048 - Universe - Inalcanzable para todos.jpeg,Facebook,1036844829507460_122151376851072582,122151376815072582,https://www.facebook.com/122146890051072582/posts/122151376851072582,2026-08-24,13:30,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",Local_File_Verified,/home/ubuntu/calendar_visual_review_20260816/2608048__2608048 - Universe - Inalcanzable para todos.jpeg,Asset_Identity_Verified_Inventory_Row_Missing,Create or approve a non-CNT inventory row/alias; do not infer CNT from filename.
ALIAS-0055,2608053,,,,,PUB-FB-17_30-42,2608053 - Universe - Quieras o no.jpeg,Facebook,1036844829507460_122151377019072582,122151376977072582,https://www.facebook.com/122146890051072582/posts/122151377019072582,2026-08-24,17:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",Local_File_Verified,/home/ubuntu/calendar_visual_review_20260816/2608053__2608053 - Universe - Quieras o no.jpeg,Asset_Identity_Verified_Inventory_Row_Missing,Create or approve a non-CNT inventory row/alias; do not infer CNT from filename.
ALIAS-0057,2607831,,,,,PUB-FB-17_30-44,Universe - Existencial 2607831.png,Facebook,1036844829507460_122151377199072582,122151377157072582,https://www.facebook.com/122146890051072582/posts/122151377199072582,2026-08-25,10:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",No_Local_File_Match,,Evidence_Not_Found_Local,Request evidence before changing inventory.
ALIAS-0060,2608062,,,,,PUB-FB-17_30-47,2608062 - Kiri+Evan - prestame el marron.jpeg,Facebook,1036844829507460_122151377475072582,122151377433072582,https://www.facebook.com/122146890051072582/posts/122151377475072582,2026-08-25,16:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",Local_File_Verified,/home/ubuntu/calendar_visual_review_20260816/2608062__2608062 - Kiri+Evan - prestame el marron.jpeg,Asset_Identity_Verified_Inventory_Row_Missing,Create or approve a non-CNT inventory row/alias; do not infer CNT from filename.
ALIAS-0062,2608043,,,,,PUB-FB-17_30-49,2608043 - Maeve - No te pedi que me revivieras.jpeg,Facebook,1036844829507460_122151377649072582,122151377607072582,https://www.facebook.com/122146890051072582/posts/122151377649072582,2026-08-25,19:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",Local_File_Verified,/home/ubuntu/calendar_visual_review_20260816/2608043__2608043 - Maeve - No te pedi que me revivieras.jpeg,Asset_Identity_Verified_Inventory_Row_Missing,Create or approve a non-CNT inventory row/alias; do not infer CNT from filename.
ALIAS-0064,2608065,,,,,PUB-FB-17_30-51,2608065 - Fantasma - Pedazo de socrates.jpeg,Facebook,1036844829507460_122151377829072582,122151377781072582,https://www.facebook.com/122146890051072582/posts/122151377829072582,2026-08-26,11:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",Local_File_Verified,/home/ubuntu/calendar_visual_review_20260816/2608065__2608065 - Fantasma - Pedazo de socrates.jpeg,Asset_Identity_Verified_Inventory_Row_Missing,Create or approve a non-CNT inventory row/alias; do not infer CNT from filename.
ALIAS-0066,2608058,,,,,PUB-FB-17_30-53,2608058 - Silvio - Tiene que dar tranquilidad.jpeg,Facebook,1036844829507460_122151377979072582,122151377937072582,https://www.facebook.com/122146890051072582/posts/122151377979072582,2026-08-26,16:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",Local_File_Verified,/home/ubuntu/calendar_visual_review_20260816/2608058__2608058 - Silvio - Tiene que dar tranquilidad.jpeg,Asset_Identity_Verified_Inventory_Row_Missing,Create or approve a non-CNT inventory row/alias; do not infer CNT from filename.
ALIAS-0068,2608044,,,,,PUB-FB-17_30-55,2608044 - Silvio - Sabra dios cuantos ligues.jpeg,Facebook,1036844829507460_122151378153072582,122151378117072582,https://www.facebook.com/122146890051072582/posts/122151378153072582,2026-08-26,19:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",Local_File_Verified,/home/ubuntu/calendar_visual_review_20260816/2608044__2608044 - Silvio - Sabra dios cuantos ligues.jpeg,Asset_Identity_Verified_Inventory_Row_Missing,Create or approve a non-CNT inventory row/alias; do not infer CNT from filename.
ALIAS-0069,260571,,,,,PUB-FB-17_30-56,260571 - Kiri.png,Facebook,1036844829507460_122151378249072582,122151378195072582,https://www.facebook.com/122146890051072582/posts/122151378249072582,2026-08-27,10:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",No_Local_File_Match,,Evidence_Not_Found_Local,Request evidence before changing inventory.
ALIAS-0070,2608042,,,,,PUB-FB-17_30-57,2608042 - Maeve+kael - Te quiero besiquiar.jpeg,Facebook,1036844829507460_122151378327072582,122151378291072582,https://www.facebook.com/122146890051072582/posts/122151378327072582,2026-08-27,11:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",Local_File_Verified,/home/ubuntu/calendar_visual_review_20260816/2608042__2608042 - Maeve+kael - Te quiero besiquiar.jpeg,Asset_Identity_Verified_Inventory_Row_Missing,Create or approve a non-CNT inventory row/alias; do not infer CNT from filename.
ALIAS-0072,2608064,,,,,PUB-FB-17_30-59,2608064 - Universe - Quieren hacer pendejo al que nacio asi.jpeg,Facebook,1036844829507460_122151378495072582,122151378447072582,https://www.facebook.com/122146890051072582/posts/122151378495072582,2026-08-27,16:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",Local_File_Verified,/home/ubuntu/calendar_visual_review_20260816/2608064__2608064 - Universe - Quieren hacer pendejo al que nacio asi.jpeg,Asset_Identity_Verified_Inventory_Row_Missing,Create or approve a non-CNT inventory row/alias; do not infer CNT from filename.
ALIAS-0074,2608055,,,,,PUB-FB-17_30-61,2608055 - Kiri - Parezco normal.jpeg,Facebook,1036844829507460_122151378639072582,122151378603072582,https://www.facebook.com/122146890051072582/posts/122151378639072582,2026-08-27,19:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",Local_File_Verified,/home/ubuntu/calendar_visual_review_20260816/2608055__2608055 - Kiri - Parezco normal.jpeg,Asset_Identity_Verified_Inventory_Row_Missing,Create or approve a non-CNT inventory row/alias; do not infer CNT from filename.
ALIAS-0076,260550,,,,,PUB-FB-17_30-63,260550 - Universe.png,Facebook,1036844829507460_122151378807072582,122151378771072582,https://www.facebook.com/122146890051072582/posts/122151378807072582,2026-08-28,11:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",No_Local_File_Match,,Evidence_Not_Found_Local,Request evidence before changing inventory.
ALIAS-0077,2608059,,,,,PUB-FB-17_30-64,2608059 - Kael - Si la vida te da limones.jpeg,Facebook,1036844829507460_122151378879072582,122151378849072582,https://www.facebook.com/122146890051072582/posts/122151378879072582,2026-08-28,13:30,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",Local_File_Verified,/home/ubuntu/calendar_visual_review_20260816/2608059__2608059 - Kael - Si la vida te da limones.jpeg,Asset_Identity_Verified_Inventory_Row_Missing,Create or approve a non-CNT inventory row/alias; do not infer CNT from filename.
ALIAS-0079,2608045,,,,,PUB-FB-17_30-66,2608045 - Kiri+Evan - No te voy a mentir.jpeg,Facebook,1036844829507460_122151379047072582,122151379011072582,https://www.facebook.com/122146890051072582/posts/122151379047072582,2026-08-29,10:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",Local_File_Verified,/home/ubuntu/calendar_visual_review_20260816/2608045__2608045 - Kiri+Evan - No te voy a mentir.jpeg,Asset_Identity_Verified_Inventory_Row_Missing,Create or approve a non-CNT inventory row/alias; do not infer CNT from filename.
ALIAS-0081,2608047,,,,,PUB-FB-17_30-68,2608047 - Kael - Inolerancia a la lactosa.jpeg,Facebook,1036844829507460_122151379203072582,122151379173072582,https://www.facebook.com/122146890051072582/posts/122151379203072582,2026-08-29,13:30,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",Local_File_Verified,/home/ubuntu/calendar_visual_review_20260816/2608047__2608047 - Kael - Inolerancia a la lactosa.jpeg,Asset_Identity_Verified_Inventory_Row_Missing,Create or approve a non-CNT inventory row/alias; do not infer CNT from filename.
