period,role,asset_ref,filename_or_concept,meta_id,date,local_time,format,metric_definition,metric_value,reactions,comments,shares,source,selection_note
Mayo_2026,Reuse_Top28,260510,260510 - Universe.png,1036844829507460_122117751393072582,2026-05-05,,Unknown_from_ranking,Reacciones + comentarios + shares,8,7,1,0,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,Universe,Universe - Existencial 260508.png,1036844829507460_122117731467072582,2026-05-04,,Unknown_from_ranking,Reacciones + comentarios + shares,8,8,0,0,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260625.png,260625.png,1036844829507460_122122781583072582,2026-05-22,,Unknown_from_ranking,Reacciones + comentarios + shares,7,5,0,2,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260518,260518 - Kael.png,1036844829507460_122118353007072582,2026-05-06,,Unknown_from_ranking,Reacciones + comentarios + shares,7,6,1,0,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260607,260607 - Universe.png,1036844829507460_122122145103072582,2026-05-21,,Unknown_from_ranking,Reacciones + comentarios + shares,6,4,1,1,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,Universe,Universe - Existencial 622.png,1036844829507460_122125185207072582,2026-05-31,,Unknown_from_ranking,Reacciones + comentarios + shares,6,5,1,0,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260613,260613 - Wilfred.png,1036844829507460_122122159311072582,2026-05-21,,Unknown_from_ranking,Reacciones + comentarios + shares,6,6,0,0,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260620,260620 - Fantasma.png,1036844829507460_122124367017072582,2026-05-27,,Unknown_from_ranking,Reacciones + comentarios + shares,5,3,0,2,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260540,260540 - Elara.png,1036844829507460_122122150101072582,2026-05-11,,Unknown_from_ranking,Reacciones + comentarios + shares,5,4,1,2,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260573,260573 - Universe.png,1036844829507460_122120563947072582,2026-05-15,,Unknown_from_ranking,Reacciones + comentarios + shares,5,3,0,2,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260542,260542 - Universe.png,1036844829507460_122119047297072582,2026-05-09,,Unknown_from_ranking,Reacciones + comentarios + shares,5,4,0,1,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260543,260543 - Evan.png,1036844829507460_122119060353072582,2026-05-10,,Unknown_from_ranking,Reacciones + comentarios + shares,5,5,0,0,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260527,260527 - Universe.png,1036844829507460_122118739911072582,2026-05-08,,Unknown_from_ranking,Reacciones + comentarios + shares,5,4,1,0,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,741,741 - Elara+Maeve.png,1036844829507460_122117421531072582,2026-05-02,,Unknown_from_ranking,Reacciones + comentarios + shares,5,5,0,0,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260559,260559 - Universe.png,1036844829507460_122119761573072582,2026-05-12,,Unknown_from_ranking,Reacciones + comentarios + shares,5,2,0,3,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260650,260650 - Universe.png,1036844829507460_122124960891072582,2026-05-31,,Unknown_from_ranking,Reacciones + comentarios + shares,4,3,0,1,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260590,260590 - Maeve.png,1036844829507460_122120959611072582,2026-05-18,,Unknown_from_ranking,Reacciones + comentarios + shares,4,3,0,1,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Junio_2026,June top post,2607792,2607792 - fantasma+Universe - El gato ;o (21-jun-26).jpeg,1036844829507460_122132599809072582,2026-06-21,2026-06-21T20:09:49-06:00,Unknown_from_dataset,Reacciones + comentarios + shares,1128,999,2,127,2026-08-14_Comparativo_Desempeno_Junio_Julio_Agosto_Datos.csv,"Exact visual match confirmed 2026-08-17: Facebook post image matches filename in 08 Agosto; CNT-069 assigned. Move manifest confirms MOVE_ONLY, no copy."
Junio_2026,June top post,2607794,2607794 - Universe - Aver.. A ver... (22-jun-26).png,1036844829507460_122132690157072582,2026-06-22,2026-06-22T10:02:23-06:00,Unknown_from_dataset,Reacciones + comentarios + shares,975,696,2,277,2026-08-14_Comparativo_Desempeno_Junio_Julio_Agosto_Datos.csv,"Exact visual match confirmed 2026-08-17: Facebook post image matches filename in 08 Agosto; CNT-070 assigned. Move manifest confirms MOVE_ONLY, no copy."
Junio_2026,June top post,260733,260733 - Evan - Yo aura fuerte (10-jun-26).png,1036844829507460_122128723341072582,2026-06-09,2026-06-09T20:44:56-06:00,Unknown_from_dataset,Reacciones + comentarios + shares,1127,896,20,211,2026-08-14_Comparativo_Desempeno_Junio_Julio_Agosto_Datos.csv,"Exact visual match confirmed 2026-08-17: Facebook post image matches filename in 08 Agosto; CNT-071 assigned. Move manifest confirms MOVE_ONLY, no copy."
Junio_2026,June top post,2607825,2607825 - Kael - Ser el malo de la historia (28-jun-26).png,1036844829507460_122134136793072582,2026-06-28,2026-06-28T10:42:29-06:00,Unknown_from_dataset,Reacciones + comentarios + shares,1308,912,4,392,2026-08-14_Comparativo_Desempeno_Junio_Julio_Agosto_Datos.csv,"Exact visual match confirmed 2026-08-17: Facebook post image matches filename in 08 Agosto; CNT-072 assigned. Move manifest confirms MOVE_ONLY, no copy."
Junio_2026,June top post,260735,260735 - Universe - dentro de ti hay dos payasos (10-jun-26).png,1036844829507460_122129013585072582,2026-06-10,2026-06-10T14:32:01-06:00,Unknown_from_dataset,Reacciones + comentarios + shares,785,509,13,263,2026-08-14_Comparativo_Desempeno_Junio_Julio_Agosto_Datos.csv,"Exact visual match confirmed 2026-08-17: Facebook post image matches filename in 08 Agosto; CNT-073 assigned. Move manifest confirms MOVE_ONLY, no copy."
Julio_2026,July top post,260604,Universe - Existencial 260604.png,1036844829507460_122140003413072582,2026-07-18,2026-07-18T22:00:10-06:00,Unknown_from_dataset,Reacciones + comentarios + shares,5482,3108,62,2312,2026-08-14_Comparativo_Desempeno_Junio_Julio_Agosto_Datos.csv,"Visual match exacto confirmado en Facebook: imagen con el texto ""¿Por qué estás tan callado? ¿Qué tienes en mente?"" y personaje dentro de una burbuja. CNT CNT-074 asignado con evidencia visual, filename y Drive ID."
Julio_2026,July top post,2607987,Universe - Existencial 2607987.jpeg,1036844829507460_122142779757072582,2026-07-28,2026-07-28T13:57:12-06:00,Unknown_from_dataset,Reacciones + comentarios + shares,3726,2367,18,1341,2026-08-14_Comparativo_Desempeno_Junio_Julio_Agosto_Datos.csv,"Visual match exacto confirmado en Facebook: Fantasma sentado en un bosque con el texto ""No es desinterés, ya se me olvidan las cosas bien feo."" CNT CNT-075 asignado con evidencia visual, filename y Drive ID."
Julio_2026,July top post,729,Universe - Existencial 729.png,1036844829507460_122142627051072582,2026-07-27,2026-07-27T20:00:00-06:00,Unknown_from_dataset,Reacciones + comentarios + shares,2979,2249,16,714,2026-08-14_Comparativo_Desempeno_Junio_Julio_Agosto_Datos.csv,"Visual match exacto confirmado en Facebook: dos parejas de esqueletos con el texto ""Ni ella le habló y él no la buscó..."" CNT CNT-076 asignado con evidencia visual, filename y Drive ID."
Julio_2026,July top post,260504,Universe - Existencial 260504.png,1036844829507460_122140844349072582,2026-07-21,2026-07-21T15:20:01-06:00,Unknown_from_dataset,Reacciones + comentarios + shares,3913,2290,102,1521,2026-08-14_Comparativo_Desempeno_Junio_Julio_Agosto_Datos.csv,"Visual match exacto confirmado en Facebook: collage con múltiples personajes/temas y el texto ""Los cambios de tema que tengo en una sola conversación:"" CNT CNT-077 asignado con evidencia visual, filename y Drive ID."
Julio_2026,July top post,728,Universe - Existencial 728.png,1036844829507460_122139999861072582,2026-07-18,2026-07-18T14:00:06-06:00,Unknown_from_dataset,Reacciones + comentarios + shares,3993,2536,8,1449,2026-08-14_Comparativo_Desempeno_Junio_Julio_Agosto_Datos.csv,"Visual match exacto confirmado en Facebook: gato gris con gafas en las nubes y el texto ""Adivina kien anda bien caliente"" / ""El planeta invesil, cuídalo"" CNT CNT-078 asignado con evidencia visual, filename y Drive ID."
Julio_2026,July top post,2607966,Universe - Existencial 2607966.jpeg,1036844829507460_122141207841072582,2026-07-22,2026-07-22T22:26:32-06:00,Unknown_from_dataset,Reacciones + comentarios + shares,2747,1722,10,1015,2026-08-14_Comparativo_Desempeno_Junio_Julio_Agosto_Datos.csv,"Visual match exacto confirmado en Facebook: gato con gafas y capa oscura junto a una vela, con el texto ""Quiero aclarar que lo que publico no me define como persona. En realidad estoy más loco."" CNT CNT-079 asignado con evidencia visual, filename y Drive ID."
Junio_2026,June Top post — visual asset reconciled,260724,Universe - Existencial 260724.png,1036844829507460_122127939543072582,2026-06-07,2026-06-07T18:43:18-06:00,Imagen estática,Reacciones + comentarios + shares,32,25,1,6,2026-08-14_Comparativo_Desempeno_Junio_Julio_Agosto_Datos.csv + visual match Top + Drive 06 Junio,Coincidencia visual exacta con la captura Top; enlazado a CNT-068. La captura muestra lifetime posterior y no se mezcla con el snapshot histórico.
Junio_2026,Published_Asset_VisualConfirmed,260696,Universe - Existencial 260696,1036844829507460_122125531995072582,2026-06-01,,Image,Reactions + comments + shares,8,7,1,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260647,Universe - Existencial 260647,1036844829507460_122125539447072582,2026-06-01,,Image,Reactions + comments + shares,7,6,1,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260678,Universe - Existencial 260678,1036844829507460_122125544763072582,2026-06-01,,Image,Reactions + comments + shares,14,10,2,2,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260698,Universe - Existencial 260698,1036844829507460_122125549929072582,2026-06-01,,Image,Reactions + comments + shares,5,4,1,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260710,Universe - Existencial 260710,1036844829507460_122125632579072582,2026-06-01,,Image,Reactions + comments + shares,2,1,1,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260677,Universe - Existencial 260677,1036844829507460_122125638237072582,2026-06-01,,Image,Reactions + comments + shares,2,0,0,2,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260697,Universe - Existencial 260697,1036844829507460_122125642935072582,2026-06-01,,Image,Reactions + comments + shares,7,6,1,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260688,Universe - Existencial 260688,1036844829507460_122125649037072582,2026-06-01,,Image,Reactions + comments + shares,2,2,0,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260690,Universe - Existencial 260690,1036844829507460_122125879395072582,2026-06-02,,Image,Reactions + comments + shares,7,5,1,1,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260662,Universe - Existencial 260662,1036844829507460_122125889343072582,2026-06-02,,Image,Reactions + comments + shares,7,6,1,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260703,Universe - Existencial 260703,1036844829507460_122125899687072582,2026-06-02,,Image,Reactions + comments + shares,0,0,0,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260679,Universe - Existencial 260679,1036844829507460_122125904103072582,2026-06-02,,Image,Reactions + comments + shares,6,5,1,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260691,Universe - Existencial 260691,1036844829507460_122125909929072582,2026-06-02,,Image,Reactions + comments + shares,4,3,1,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260694,Universe - Existencial 260694,1036844829507460_122125913145072582,2026-06-02,,Image,Reactions + comments + shares,2,1,0,1,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260689,Universe - Existencial 260689,1036844829507460_122125915659072582,2026-06-02,,Image,Reactions + comments + shares,2,2,0,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260655,Universe - Existencial 260655,1036844829507460_122126245077072582,2026-06-03,,Image,Reactions + comments + shares,1,1,0,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260692,Universe - Existencial 260692,1036844829507460_122126268399072582,2026-06-03,,Image,Reactions + comments + shares,4,3,1,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260685,Universe - Existencial 260685,1036844829507460_122126291157072582,2026-06-03,,Image,Reactions + comments + shares,5,2,1,2,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260666,Universe - Existencial 260666,1036844829507460_122126295999072582,2026-06-03,,Image,Reactions + comments + shares,0,0,0,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260682,Universe - Existencial 260682,1036844829507460_122126300817072582,2026-06-03,,Image,Reactions + comments + shares,4,3,1,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260656,Universe - Existencial 260656,1036844829507460_122126303037072582,2026-06-03,,Image,Reactions + comments + shares,1,1,0,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260693,Universe - Existencial 260693,1036844829507460_122126647605072582,2026-06-04,,Image,Reactions + comments + shares,8,7,1,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260686,Universe - Existencial 260686,1036844829507460_122126656881072582,2026-06-04,,Image,Reactions + comments + shares,7,6,1,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260687,Universe - Existencial 260687,1036844829507460_122126666445072582,2026-06-04,,Image,Reactions + comments + shares,2,2,0,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260699,Universe - Existencial 260699,1036844829507460_122126669349072582,2026-06-04,,Image,Reactions + comments + shares,8,7,1,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260680,Universe - Existencial 260680,1036844829507460_122126673171072582,2026-06-04,,Image,Reactions + comments + shares,10,6,1,3,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260683,Universe - Existencial 260683,1036844829507460_122126675589072582,2026-06-04,,Image,Reactions + comments + shares,9,6,1,2,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260684,Universe - Existencial 260684,1036844829507460_122127185487072582,2026-06-05,,Image,Reactions + comments + shares,14,10,2,2,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260707,Universe - Existencial 260707,1036844829507460_122127194757072582,2026-06-05,,Image,Reactions + comments + shares,2,2,0,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260699,Universe - Existencial 260699,1036844829507460_122127204141072582,2026-06-05,,Image,Reactions + comments + shares,0,0,0,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260706,Universe - Existencial 260706,1036844829507460_122127204261072582,2026-06-06,,Image,Reactions + comments + shares,0,0,0,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260709,Universe - Existencial 260709,1036844829507460_122127207513072582,2026-06-05,,Image,Reactions + comments + shares,2,2,0,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260681,Universe - Existencial 260681,1036844829507460_122127211857072582,2026-06-05,,Image,Reactions + comments + shares,5,4,1,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260705,Universe - Existencial 260705,1036844829507460_122127213801072582,2026-06-05,,Image,Reactions + comments + shares,8,6,2,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260714,Universe - Existencial 260714,1036844829507460_122127634803072582,2026-06-06,,Image,Reactions + comments + shares,17,10,1,6,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260704,Universe - Existencial 260704,1036844829507460_122127644163072582,2026-06-06,,Image,Reactions + comments + shares,0,0,0,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260711,Universe - Existencial 260711,1036844829507460_122127647307072582,2026-06-06,,Image,Reactions + comments + shares,2,2,0,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,014,Universe sent me - 014,1036844829507460_122127652773072582,2026-06-06,,Image,Reactions + comments + shares,2,0,2,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260701,Universe - Existencial 260701,1036844829507460_122127659763072582,2026-06-06,,Image,Reactions + comments + shares,6,5,1,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260715,Universe - Existencial 260715,1036844829507460_122127661401072582,2026-06-06,,Image,Reactions + comments + shares,3,3,0,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260716,Universe - Existencial 260716,1036844829507460_122127666729072582,2026-06-06,,Image,Reactions + comments + shares,7,6,1,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260719,Universe - Existencial 260719,1036844829507460_122127903447072582,2026-06-07,,Image,Reactions + comments + shares,1,1,0,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260712,Universe - Existencial 260712,1036844829507460_122127909777072582,2026-06-07,,Image,Reactions + comments + shares,3,3,0,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260672,Universe - Existencial 260672,1036844829507460_122127915363072582,2026-06-07,,Image,Reactions + comments + shares,0,0,0,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260717,Universe - Existencial 260717,1036844829507460_122127921585072582,2026-06-07,,Image,Reactions + comments + shares,0,0,0,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260720,Universe - Existencial 260720,1036844829507460_122127929847072582,2026-06-07,,Image,Reactions + comments + shares,5,3,1,1,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260721,Universe - Existencial 260721,1036844829507460_122127933531072582,2026-06-07,,Image,Reactions + comments + shares,2,2,0,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
Junio_2026,Published_Asset_VisualConfirmed,260723,Universe - Existencial 260723,1036844829507460_122127936261072582,2026-06-07,,Image,Reactions + comments + shares,0,0,0,0,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Visual confirmed; CNT assignment pending; photo ID retained in mapping CSV.
