Alias_ID,Asset_Key,Inventory_ID,Inventory_Asset_Ref,Inventory_Asset_Filename,Drive_ID,Publication_ID,Publication_Asset_Ref,Plataforma,Meta_Post_ID,Meta_Photo_ID,Permalink,Fecha_Planeada_Local,Hora_Planeada_Local,Fecha_Publicacion_Local,Hora_Publicacion_Local,Estado_Publicacion,Match_Method,Confidence,Source,Notes
ALIAS-0001,2608030,CNT-031,2608030 - Universe - Que fibra tomas pa cagarla tanto.jpeg,2608030 - Universe - Que fibra tomas pa cagarla tanto.jpeg,1qiqa3QReNG3HuholxQsepFN9eDMZTY0c,PUB-FB-15_16-01,2608030 - Universe - Que fibra tomas pa cagarla tanto.jpeg,Facebook,1036844829507460_122150559441072582,122150559393072582,https://www.facebook.com/122146890051072582/posts/122150559441072582,2026-08-15,10:00,2026-08-15,10:00:22,Publicado,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0013,2608030,CNT-031,2608030 - Universe - Que fibra tomas pa cagarla tanto.jpeg,2608030 - Universe - Que fibra tomas pa cagarla tanto.jpeg,1qiqa3QReNG3HuholxQsepFN9eDMZTY0c,PUB-IG-15_16-01,2608030 - Universe - Que fibra tomas pa cagarla tanto.jpeg,Instagram,,,,2026-08-15,10:00,2026-08-15,10:59:41,Publicado,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0014,260633,CNT-062,260633,260633 - Universe.png,1c9vwjclQZ6k-4kkgyMCpV17pnrWzHx9O,PUB-FB-17_30-01,260633 - Universe.png,Facebook,1036844829507460_122151373701072582,122151373677072582,https://www.facebook.com/122146890051072582/posts/122151373701072582,2026-08-17,10:00,,,Programada,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0015,2608028,,,,,PUB-FB-17_30-02,2608028 - Universe -  El amor esta en todos lados.png,Facebook,1036844829507460_122151373761072582,122151373737072582,https://www.facebook.com/122146890051072582/posts/122151373761072582,2026-08-17,11:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0016,2608034,,,,,PUB-FB-17_30-03,2608034- Elara - uno debe ser chismoso.jpeg,Facebook,1036844829507460_122151373833072582,122151373797072582,https://www.facebook.com/122146890051072582/posts/122151373833072582,2026-08-17,13:30,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0017,260642,CNT-064,260642,260642 - Universe+Wilfred.png,1JD8VkU9IsOZZAZiqwrPDGnJQuVEC5Efj,PUB-FB-17_30-04,260642 - Universe+Wilfred.png,Facebook,1036844829507460_122151373893072582,122151373863072582,https://www.facebook.com/122146890051072582/posts/122151373893072582,2026-08-17,16:00,,,Programada,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0018,2608027,,,,,PUB-FB-17_30-05,2608027.jpeg,Facebook,1036844829507460_122151373953072582,122151373917072582,https://www.facebook.com/122146890051072582/posts/122151373953072582,2026-08-17,17:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0019,2608029,,,,,PUB-FB-17_30-06,2608029 - Wilfred - Quiero loquiar.jpeg,Facebook,1036844829507460_122151374019072582,122151373983072582,https://www.facebook.com/122146890051072582/posts/122151374019072582,2026-08-17,19:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0020,260646,,,,,PUB-FB-17_30-07,260646 - No sean asi.. (14-jun-26).png,Facebook,1036844829507460_122151374085072582,122151374055072582,https://www.facebook.com/122146890051072582/posts/122151374085072582,2026-08-18,10:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0021,2608046,,,,,PUB-FB-17_30-08,2608046 - Universe - Mis firmas no se parecen.jpeg,Facebook,1036844829507460_122151374157072582,122151374121072582,https://www.facebook.com/122146890051072582/posts/122151374157072582,2026-08-18,11:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0022,260735,CNT-073,260735,260735 - Universe - dentro de ti hay dos payasos (10-jun-26).png,1ZmJrhaJFpF3_R9prrCV6u8wyOt9GkWH0,PUB-FB-17_30-09,260735 - Universe - dentro de ti hay dos payasos (10-jun-26).png,Facebook,1036844829507460_122151374217072582,122151374193072582,https://www.facebook.com/122146890051072582/posts/122151374217072582,2026-08-18,13:30,,,Programada,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0023,2608052,,,,,PUB-FB-17_30-10,2608052 - Evan - Yo confiando en Google Maps.jpeg,Facebook,1036844829507460_122151374289072582,122151374253072582,https://www.facebook.com/122146890051072582/posts/122151374289072582,2026-08-18,16:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0024,260644,CNT-065,260644,260644 - Universe.png,1pYa6y0UodlQ00lmGozoCkne19pmKByiw,PUB-FB-17_30-11,260644 - Universe.png,Facebook,1036844829507460_122151374367072582,122151374337072582,https://www.facebook.com/122146890051072582/posts/122151374367072582,2026-08-18,17:00,,,Programada,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0025,2608032,,,,,PUB-FB-17_30-12,2608032 - Kiri - Para romper el echizo tendras que besarla en los labios.jpeg,Facebook,1036844829507460_122151374457072582,122151374421072582,https://www.facebook.com/122146890051072582/posts/122151374457072582,2026-08-18,19:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0026,260515,CNT-045,260515,260515 - Universe.png,1wlOLNcrP4Z-bhYq_Pp7Azgg9jWVxdzSW,PUB-FB-17_30-13,260515 - Universe.png,Facebook,1036844829507460_122151374517072582,122151374493072582,https://www.facebook.com/122146890051072582/posts/122151374517072582,2026-08-19,10:00,,,Programada,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0027,2608061,,,,,PUB-FB-17_30-14,2608061 - Fantasma - acaso parezco alguien que quiere ser genial.jpeg,Facebook,1036844829507460_122151374589072582,122151374559072582,https://www.facebook.com/122146890051072582/posts/122151374589072582,2026-08-19,11:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0028,260560,CNT-053,260560,260560 - Fantasma.png,1d6Dv4lz2kKTHX2Zl1M-tstOwradmhAyi,PUB-FB-17_30-15,260560 - Fantasma.png,Facebook,1036844829507460_122151374655072582,122151374631072582,https://www.facebook.com/122146890051072582/posts/122151374655072582,2026-08-19,13:30,,,Programada,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0029,2608031,,,,,PUB-FB-17_30-16,2608031 - Maeve+Silvio - Risas falsas.jpeg,Facebook,1036844829507460_122151374745072582,122151374709072582,https://www.facebook.com/122146890051072582/posts/122151374745072582,2026-08-19,16:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0030,260733,CNT-071,260733,260733 - Evan - Yo aura fuerte (10-jun-26).png,1H5FGtTmz9rJtVWZqzmyR12gnb7LlBDUO,PUB-FB-17_30-17,260733 - Evan - Yo aura fuerte (10-jun-26).png,Facebook,1036844829507460_122151374823072582,122151374793072582,https://www.facebook.com/122146890051072582/posts/122151374823072582,2026-08-19,17:00,,,Programada,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0031,2608040,,,,,PUB-FB-17_30-18,2608040- Wilfred - el universo me susurro en sueños.jpeg,Facebook,1036844829507460_122151374919072582,122151374877072582,https://www.facebook.com/122146890051072582/posts/122151374919072582,2026-08-19,19:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0032,2607794,CNT-070,2607794,2607794 - Universe - Aver.. A ver... (22-jun-26).png,1NzGQgxa38avO_jp14x7eRTzoaRutv9IW,PUB-FB-17_30-19,2607794 - Universe - Aver.. A ver... (22-jun-26).png,Facebook,1036844829507460_122151374997072582,122151374967072582,https://www.facebook.com/122146890051072582/posts/122151374997072582,2026-08-20,10:00,,,Programada,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0033,2608038,,,,,PUB-FB-17_30-20,2608038- Ganso - Mejor pudriendome en dinero.jpeg,Facebook,1036844829507460_122151375111072582,122151375045072582,https://www.facebook.com/122146890051072582/posts/122151375111072582,2026-08-20,11:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0034,260659,CNT-067,260659,260659 - Universe.png,1Q6tj-xKLWDPvxSsIRVPk17Q8D60LsAPK,PUB-FB-17_30-21,260659 - Universe.png,Facebook,1036844829507460_122151375189072582,122151375153072582,https://www.facebook.com/122146890051072582/posts/122151375189072582,2026-08-20,13:30,,,Programada,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0035,2608056,,,,,PUB-FB-17_30-22,2608056 - Wilfred - Analize tu contexto.jpeg,Facebook,1036844829507460_122151375303072582,122151375231072582,https://www.facebook.com/122146890051072582/posts/122151375303072582,2026-08-20,16:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0036,260508,CNT-042,260508,260508 - Universe.jpg,1c_AQFPbigiR39cH7f39h2MzCFvQL799b,PUB-FB-17_30-23,260508 - Universe.jpg,Facebook,1036844829507460_122151375375072582,122151375345072582,https://www.facebook.com/122146890051072582/posts/122151375375072582,2026-08-20,17:00,,,Programada,Exact_normalized_filename_and_asset_ref,High,Content_Inventory.csv + Publication_Log.csv,Validated against exact inventory filename and local evidence file; no CNT created.
ALIAS-0037,2608041,,,,,PUB-FB-17_30-24,2608041 - Maeve+kael - No me averguenza amar.jpeg,Facebook,1036844829507460_122151375465072582,122151375435072582,https://www.facebook.com/122146890051072582/posts/122151375465072582,2026-08-20,19:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0038,2607838,,,,,PUB-FB-17_30-25,2607838 - Dios - Quien me creo a mi (29-jun-26).png,Facebook,1036844829507460_122151375549072582,122151375525072582,https://www.facebook.com/122146890051072582/posts/122151375549072582,2026-08-21,10:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0039,260635,CNT-063,260635,260635 - Universe.png,1wYXYPbjEWPmXa2jazcv-q6bqoKCJfYDB,PUB-FB-17_30-26,260635 - Universe.png,Facebook,1036844829507460_122151375627072582,122151375609072582,https://www.facebook.com/122146890051072582/posts/122151375627072582,2026-08-21,11:00,,,Programada,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0040,2608049,,,,,PUB-FB-17_30-27,2608049 - Elara - Tibio tu cafe.jpeg,Facebook,1036844829507460_122151375759072582,122151375705072582,https://www.facebook.com/122146890051072582/posts/122151375759072582,2026-08-21,13:30,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0041,260614,CNT-059,260614,260614 - Universe.png,1lZsqVXERwU7mnc80wCugSkjoy2crRLiP,PUB-FB-17_30-28,260614 - Universe.png,Facebook,1036844829507460_122151375843072582,122151375801072582,https://www.facebook.com/122146890051072582/posts/122151375843072582,2026-08-21,19:00,,,Programada,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0042,2608050,,,,,PUB-FB-17_30-29,2608050 - Universe - A ponerse en forma.jpeg,Facebook,1036844829507460_122151375927072582,122151375885072582,https://www.facebook.com/122146890051072582/posts/122151375927072582,2026-08-22,10:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0043,260589,CNT-055,260589,260589.png,1P57uXhBNAjvuLJKH7YOARn5ggw_6efNc,PUB-FB-17_30-30,260589.png,Facebook,1036844829507460_122151376011072582,122151375969072582,https://www.facebook.com/122146890051072582/posts/122151376011072582,2026-08-22,11:00,,,Programada,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0044,2608063,,,,,PUB-FB-17_30-31,2608063 - Universe - Larga vida a esas mujeres.jpeg,Facebook,1036844829507460_122151376083072582,122151376053072582,https://www.facebook.com/122146890051072582/posts/122151376083072582,2026-08-22,13:30,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0045,260510,CNT-044,260510,260510 - Universe.png,1IN_JJXhuuswam_TjDvwHgPSeHeiT847o,PUB-FB-17_30-32,260510 - Universe.png,Facebook,1036844829507460_122151376203072582,122151376143072582,https://www.facebook.com/122146890051072582/posts/122151376203072582,2026-08-22,19:00,,,Programada,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0046,2608035,,,,,PUB-FB-17_30-33,2608035- Maeve - La necesidad de enloquecer.jpeg,Facebook,1036844829507460_122151376281072582,122151376245072582,https://www.facebook.com/122146890051072582/posts/122151376281072582,2026-08-23,10:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0047,260508,CNT-043,260508,Universe - Existencial 260508.png,1c_AQFPbigiR39cH7f39h2MzCFvQL799b,PUB-FB-17_30-34,Universe - Existencial 260508.png,Facebook,1036844829507460_122151376365072582,122151376329072582,https://www.facebook.com/122146890051072582/posts/122151376365072582,2026-08-23,13:30,,,Programada,Exact_normalized_filename_and_asset_ref,High,Content_Inventory.csv + Publication_Log.csv,Validated against exact inventory filename and local evidence file; no CNT created.
ALIAS-0048,2608057,,,,,PUB-FB-17_30-35,2608057 - Fantasma - Sabes que me caeria bien.jpeg,Facebook,1036844829507460_122151376455072582,122151376413072582,https://www.facebook.com/122146890051072582/posts/122151376455072582,2026-08-23,16:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0049,260757,,,,,PUB-FB-17_30-36,260757 - Maeve - Estas seguro¿ (14-jun-26).png,Facebook,1036844829507460_122151376539072582,122151376503072582,https://www.facebook.com/122146890051072582/posts/122151376539072582,2026-08-23,19:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0050,260625,CNT-061,260625,260625.png,1Mfx7HRQOxwG0DWmSzGLlEvuxUcwafynW,PUB-FB-17_30-37,260625.png,Facebook,1036844829507460_122151376629072582,122151376581072582,https://www.facebook.com/122146890051072582/posts/122151376629072582,2026-08-23,22:00,,,Programada,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0051,260661,,,,,PUB-FB-17_30-38,Universe - Existencial 260661.png,Facebook,1036844829507460_122151376695072582,122151376659072582,https://www.facebook.com/122146890051072582/posts/122151376695072582,2026-08-24,10:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0052,260518,CNT-046,260518,260518 - Kael.png,1Af3hrPfGipHgisKzc5KcoXSlKXZht3xj,PUB-FB-17_30-39,260518 - Kael.png,Facebook,1036844829507460_122151376773072582,122151376743072582,https://www.facebook.com/122146890051072582/posts/122151376773072582,2026-08-24,11:00,,,Programada,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0053,2608048,,,,,PUB-FB-17_30-40,2608048 - Universe - Inalcanzable para todos.jpeg,Facebook,1036844829507460_122151376851072582,122151376815072582,https://www.facebook.com/122146890051072582/posts/122151376851072582,2026-08-24,13:30,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0054,260607,CNT-057,260607,260607 - Universe.png,1BqrOOjXm26D9m-PfYSH8mhGc9Bga4z9G,PUB-FB-17_30-41,260607 - Universe.png,Facebook,1036844829507460_122151376941072582,122151376911072582,https://www.facebook.com/122146890051072582/posts/122151376941072582,2026-08-24,16:00,,,Programada,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0055,2608053,,,,,PUB-FB-17_30-42,2608053 - Universe - Quieras o no.jpeg,Facebook,1036844829507460_122151377019072582,122151376977072582,https://www.facebook.com/122146890051072582/posts/122151377019072582,2026-08-24,17:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0056,2607825,CNT-072,2607825,2607825 - Kael - Ser el malo de la historia (28-jun-26).png,1sJxr-1-NnLFn4Q2Tl1lUB-_QJQmUB5n3,PUB-FB-17_30-43,2607825 - Kael - Ser el malo de la historia (28-jun-26).png,Facebook,1036844829507460_122151377109072582,122151377073072582,https://www.facebook.com/122146890051072582/posts/122151377109072582,2026-08-24,19:00,,,Programada,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0057,2607831,,,,,PUB-FB-17_30-44,Universe - Existencial 2607831.png,Facebook,1036844829507460_122151377199072582,122151377157072582,https://www.facebook.com/122146890051072582/posts/122151377199072582,2026-08-25,10:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0058,622,CNT-040,622,Universe - Existencial 622.png,1Jo-NLnIFPqyZ0Q9DnTopxJ2b89wr8aj3,PUB-FB-17_30-45,Universe - Existencial 622.png,Facebook,1036844829507460_122151377301072582,122151377259072582,https://www.facebook.com/122146890051072582/posts/122151377301072582,2026-08-25,11:00,,,Programada,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0059,2607792,CNT-069,2607792,2607792 - fantasma+Universe - El gato ;o (21-jun-26).jpeg,1dYQ2ymvaqEC3P1S96TqrFBOXexYXDT8E,PUB-FB-17_30-46,2607792 - fantasma+Universe - El gato ;o (21-jun-26).jpeg,Facebook,1036844829507460_122151377385072582,122151377349072582,https://www.facebook.com/122146890051072582/posts/122151377385072582,2026-08-25,13:30,,,Programada,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0060,2608062,,,,,PUB-FB-17_30-47,2608062 - Kiri+Evan - prestame el marron.jpeg,Facebook,1036844829507460_122151377475072582,122151377433072582,https://www.facebook.com/122146890051072582/posts/122151377475072582,2026-08-25,16:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
