asset_ref,asset_raw,facebook_photo_id,photo_created_time,photo_link,meta_publication_id,publication_caption,visual_hamming_distance,same_date,mapping_status,cnt_status
260694,Universe - Existencial 260694,122125913133072582,2026-06-03T00:00:09+0000,https://www.facebook.com/photo.php?fbid=122125913133072582&set=a.122095282845072582&type=3,1036844829507460_122125913145072582,Dejen de humanizar a sus gatos. 🐈 #catlife #Fblifestyle #relatable #UniverseSentMe #gatito #gathijo,0,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260689,Universe - Existencial 260689,122125915647072582,2026-06-03T01:00:18+0000,https://www.facebook.com/photo.php?fbid=122125915647072582&set=a.122095282845072582&type=3,1036844829507460_122125915659072582,🥴,1,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260655,Universe - Existencial 260655,122126245065072582,2026-06-03T15:00:07+0000,https://www.facebook.com/photo.php?fbid=122126245065072582&set=a.122095282845072582&type=3,1036844829507460_122126245077072582,Súbete... 😎 y dale like a la pagina 😉,0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260692,Universe - Existencial 260692,122126268333072582,2026-06-03T18:02:53+0000,https://www.facebook.com/photo.php?fbid=122126268333072582&set=a.122095282845072582&type=3,1036844829507460_122126268399072582,🥰🥰,1,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260685,Universe - Existencial 260685,122126291145072582,2026-06-03T21:00:11+0000,https://www.facebook.com/photo.php?fbid=122126291145072582&set=a.122095282845072582&type=3,1036844829507460_122126291157072582,no sean asi... sigan a la pagina 🤭 #Fblifestyle #EvolucionPersonal #DesconexiónDigital #insight #relatable #UniverseSentMe #CosasQuePasan #HumorAcido,0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260666,Universe - Existencial 260666,122126295951072582,2026-06-03T22:20:03+0000,https://www.facebook.com/photo.php?fbid=122126295951072582&set=a.122095282845072582&type=3,1036844829507460_122126295999072582,Asi es el proceso creativo papito.. 😎,0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260682,Universe - Existencial 260682,122126300805072582,2026-06-04T00:00:00+0000,https://www.facebook.com/photo.php?fbid=122126300805072582&set=a.122095282845072582&type=3,1036844829507460_122126300817072582,Ya vas a seguir la pagina? 🙄 #UniverseSentMe #HumorAcido #aesthetic #gatitos #DespertarCosmico #Rockstar #AdultoFuncional,1,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260656,Universe - Existencial 260656,122126303025072582,2026-06-04T01:00:07+0000,https://www.facebook.com/photo.php?fbid=122126303025072582&set=a.122095282845072582&type=3,1036844829507460_122126303037072582,Bye... #CiclosCerrados #EvolucionPersonal #DesconexiónDigital #insight #relatable #UniverseSentMe #CosasQuePasan,0,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260693,Universe - Existencial 260693,122126647593072582,2026-06-04T15:00:02+0000,https://www.facebook.com/photo.php?fbid=122126647593072582&set=a.122095282845072582&type=3,1036844829507460_122126647605072582,😳 #CiclosCerrados #EvolucionPersonal #DesconexiónDigital #relatable #UniverseSentMe #universesentme,0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260686,Universe - Existencial 260686,122126656869072582,2026-06-04T18:05:03+0000,https://www.facebook.com/photo.php?fbid=122126656869072582&set=a.122095282845072582&type=3,1036844829507460_122126656881072582,Al fin... u.u Sigan a Universe Sent Me #DesconexiónDigital #EvolucionPersonal #CiclosCerrados #destiny #insight #relatable #UniverseSentMe #CosasQuePasan,2,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260687,Universe - Existencial 260687,122126666427072582,2026-06-04T21:00:09+0000,https://www.facebook.com/photo.php?fbid=122126666427072582&set=a.122095282845072582&type=3,1036844829507460_122126666445072582,te encargo bro.. que sigas la pagina 🤭,1,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260699,Universe - Existencial 260699,122126669337072582,2026-06-04T22:30:04+0000,https://www.facebook.com/photo.php?fbid=122126669337072582&set=a.122095282845072582&type=3,1036844829507460_122126669349072582,andaba resolviendo ... 🤭,3,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260680,Universe - Existencial 260680,122126673159072582,2026-06-05T00:01:01+0000,https://www.facebook.com/photo.php?fbid=122126673159072582&set=a.122095282845072582&type=3,1036844829507460_122126673171072582,🥴aiuda...,1,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260683,Universe - Existencial 260683,122126675577072582,2026-06-05T01:00:30+0000,https://www.facebook.com/photo.php?fbid=122126675577072582&set=a.122095282845072582&type=3,1036844829507460_122126675589072582,😏,1,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260684,Universe - Existencial 260684,122127185469072582,2026-06-05T15:01:27+0000,https://www.facebook.com/photo.php?fbid=122127185469072582&set=a.122095282845072582&type=3,1036844829507460_122127185487072582,,2,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260707,Universe - Existencial 260707,122127194745072582,2026-06-05T18:10:02+0000,https://www.facebook.com/photo.php?fbid=122127194745072582&set=a.122095282845072582&type=3,1036844829507460_122127194757072582,No aguantan nada... 😙 #insight #relatable #Fblifestyle #HumorAcido #UniverseSentMe #NoMeArrepiento,0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260699,Universe - Existencial 260699,122127204123072582,2026-06-05T21:00:22+0000,https://www.facebook.com/photo.php?fbid=122127204123072582&set=a.122095282845072582&type=3,1036844829507460_122127204141072582,Perdón por responder tarde. #CiclosCerrados #EvolucionPersonal #DesconexiónDigital #insight #UniverseSentMe #HumorAcido,3,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260706,Universe - Existencial 260706,122127204213072582,2026-06-06T17:00:12+0000,https://www.facebook.com/photo.php?fbid=122127204213072582&set=a.122095282845072582&type=3,1036844829507460_122127204261072582,Quizás en otra vida...,0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260709,Universe - Existencial 260709,122127207495072582,2026-06-05T22:20:03+0000,https://www.facebook.com/photo.php?fbid=122127207495072582&set=a.122095282845072582&type=3,1036844829507460_122127207513072582,Los fans del terror...,1,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260681,Universe - Existencial 260681,122127211839072582,2026-06-06T00:00:01+0000,https://www.facebook.com/photo.php?fbid=122127211839072582&set=a.122095282845072582&type=3,1036844829507460_122127211857072582,Sin rencores... u.u #EvolucionPersonal #CiclosCerrados #insight #relatable #UniverseSentMe #CosasQuePasan #Despertar #NoMeArrepiento #VidaReal,0,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260705,Universe - Existencial 260705,122127213777072582,2026-06-06T01:01:00+0000,https://www.facebook.com/photo.php?fbid=122127213777072582&set=a.122095282845072582&type=3,1036844829507460_122127213801072582,😳😳,3,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260714,Universe - Existencial 260714,122127634785072582,2026-06-06T15:00:18+0000,https://www.facebook.com/photo.php?fbid=122127634785072582&set=a.122095282845072582&type=3,1036844829507460_122127634803072582,No eres débil por caer...,1,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260704,Universe - Existencial 260704,122127644151072582,2026-06-06T18:00:01+0000,https://www.facebook.com/photo.php?fbid=122127644151072582&set=a.122095282845072582&type=3,1036844829507460_122127644163072582,🫣,0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260711,Universe - Existencial 260711,122127647295072582,2026-06-06T19:00:11+0000,https://www.facebook.com/photo.php?fbid=122127647295072582&set=a.122095282845072582&type=3,1036844829507460_122127647307072582,,1,True,Visual_Confirmed,Existing CNT or pending CNT assignment
014,Universe sent me - 014,122127652683072582,2026-06-06T20:12:02+0000,https://www.facebook.com/photo.php?fbid=122127652683072582&set=a.122095282845072582&type=3,1036844829507460_122127652773072582,,1,True,Visual_Confirmed,Existing CNT or pending CNT assignment
015,Universe sent me - 015,122127652731072582,2026-06-06T20:12:02+0000,https://www.facebook.com/photo.php?fbid=122127652731072582&set=a.122095282845072582&type=3,1036844829507460_122129025387072582,#universesentme true killer,250,False,Manual_Review_Required,Existing CNT or pending CNT assignment
260701,Universe - Existencial 260701,122127659727072582,2026-06-06T23:25:30+0000,https://www.facebook.com/photo.php?fbid=122127659727072582&set=a.122095282845072582&type=3,1036844829507460_122127659763072582,🫣🫣🫣,1,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260715,Universe - Existencial 260715,122127661359072582,2026-06-07T00:20:23+0000,https://www.facebook.com/photo.php?fbid=122127661359072582&set=a.122095282845072582&type=3,1036844829507460_122127661401072582,,0,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260716,Universe - Existencial 260716,122127666675072582,2026-06-07T02:08:03+0000,https://www.facebook.com/photo.php?fbid=122127666675072582&set=a.122095282845072582&type=3,1036844829507460_122127666729072582,😏🥴,1,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260719,Universe - Existencial 260719,122127903009072582,2026-06-07T13:09:14+0000,https://www.facebook.com/photo.php?fbid=122127903009072582&set=a.122095282845072582&type=3,1036844829507460_122127903447072582,Todos los días amanezco guapo... 🫣 #Fblifestyle #HumorAcido #UniverseSentMe #CosasQuePasan #Despertar #VidaReal #whatif,3,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260712,Universe - Existencial 260712,122127909759072582,2026-06-07T15:00:03+0000,https://www.facebook.com/photo.php?fbid=122127909759072582&set=a.122095282845072582&type=3,1036844829507460_122127909777072582,Vayan a perder su tiempo a otro lado.. 😎 #Fblifestyle #HumorAcido #CrisisExistencial #Despertar #whatif #UniverseSentMe,0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260672,Universe - Existencial 260672,122127915327072582,2026-06-07T16:47:52+0000,https://www.facebook.com/photo.php?fbid=122127915327072582&set=a.122095282845072582&type=3,1036844829507460_122127915363072582,,3,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260717,Universe - Existencial 260717,122127921543072582,2026-06-07T18:33:46+0000,https://www.facebook.com/photo.php?fbid=122127921543072582&set=a.122095282845072582&type=3,1036844829507460_122127921585072582,,2,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260720,Universe - Existencial 260720,122127929661072582,2026-06-07T20:48:04+0000,https://www.facebook.com/photo.php?fbid=122127929661072582&set=a.122095282845072582&type=3,1036844829507460_122127929847072582,😏😏😏,0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260721,Universe - Existencial 260721,122127933405072582,2026-06-07T21:59:53+0000,https://www.facebook.com/photo.php?fbid=122127933405072582&set=a.122095282845072582&type=3,1036844829507460_122127933531072582,😏,0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260723,Universe - Existencial 260723,122127936177072582,2026-06-07T23:09:25+0000,https://www.facebook.com/photo.php?fbid=122127936177072582&set=a.122095282845072582&type=3,1036844829507460_122127936261072582,😌,1,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260724,Universe - Existencial 260724,122127939279072582,2026-06-08T00:43:16+0000,https://www.facebook.com/photo.php?fbid=122127939279072582&set=a.122095282845072582&type=3,1036844829507460_122127939543072582,✨✨✨,0,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260722,Universe - Existencial 260722,122127941877072582,2026-06-08T01:16:40+0000,https://www.facebook.com/photo.php?fbid=122127941877072582&set=a.122095282845072582&type=3,1036844829507460_122127942027072582,🤭🤭🤣,0,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260725,Universe - Existencial 260725,122127944781072582,2026-06-08T02:02:10+0000,https://www.facebook.com/photo.php?fbid=122127944781072582&set=a.122095282845072582&type=3,1036844829507460_122127947685072582,😳,3,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260718,Universe - Existencial 260718,122127964299072582,2026-06-08T03:40:03+0000,https://www.facebook.com/photo.php?fbid=122127964299072582&set=a.122095282845072582&type=3,1036844829507460_122127964311072582,🫣,10,False,Visual_Review,Existing CNT or pending CNT assignment
260713,Universe - Existencial 260713,122128156011072582,2026-06-08T15:09:21+0000,https://www.facebook.com/photo.php?fbid=122128156011072582&set=a.122095282845072582&type=3,1036844829507460_122128156065072582,"Eres agua, solo fluye!",0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260726,Universe - Existencial 260726,122128165965072582,2026-06-08T17:50:32+0000,https://www.facebook.com/photo.php?fbid=122128165965072582&set=a.122095282845072582&type=3,1036844829507460_122128166019072582,Ya llegue patrona! 🫡,3,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260727,Universe - Existencial 260727,122128190907072582,2026-06-08T21:48:31+0000,https://www.facebook.com/photo.php?fbid=122128190907072582&set=a.122095282845072582&type=3,1036844829507460_122128190949072582,😏,1,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260728,Universe - Existencial 260728,122128196373072582,2026-06-08T23:50:44+0000,https://www.facebook.com/photo.php?fbid=122128196373072582&set=a.122095282845072582&type=3,1036844829507460_122128196421072582,pero tienes que estar conmig... u.u,0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260729,Universe - Existencial 260729,122128200219072582,2026-06-09T01:27:14+0000,https://www.facebook.com/photo.php?fbid=122128200219072582&set=a.122095282845072582&type=3,1036844829507460_122128200267072582,"""No le sabes"" es como el ""Dime 3 canciones de esa banda"" jaja",1,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260730,Universe - Existencial 260730,122128511655072582,2026-06-09T15:25:13+0000,https://www.facebook.com/photo.php?fbid=122128511655072582&set=a.122095282845072582&type=3,1036844829507460_122128511733072582,😾,2,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260731,Universe - Existencial 260731,122128536387072582,2026-06-09T22:27:20+0000,https://www.facebook.com/photo.php?fbid=122128536387072582&set=a.122095282845072582&type=3,1036844829507460_122128536909072582,🥴🫠🫠,13,True,Visual_Review,Existing CNT or pending CNT assignment
260732,Universe - Existencial 260732,122128714545072582,2026-06-10T00:25:44+0000,https://www.facebook.com/photo.php?fbid=122128714545072582&set=a.122095282845072582&type=3,1036844829507460_122128714959072582,😵‍💫,1,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260733 - Evan - Yo aura fuerte (10-jun-26),260733 - Evan - Yo aura fuerte (10-jun-26),122128723263072582,2026-06-10T02:44:54+0000,https://www.facebook.com/photo.php?fbid=122128723263072582&set=a.122095282845072582&type=3,1036844829507460_122128723341072582,yo Aura Fuerte 😏,2,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260735 - Universe  - dentro de ti hay dos payasos (10-jun-26),260735 - Universe  - dentro de ti hay dos payasos (10-jun-26),122129013543072582,2026-06-10T20:31:57+0000,https://www.facebook.com/photo.php?fbid=122129013543072582&set=a.122095282845072582&type=3,1036844829507460_122129013585072582,🤡,3,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260738,Universe - Existencial 260738,122129019315072582,2026-06-10T22:24:49+0000,https://www.facebook.com/photo.php?fbid=122129019315072582&set=a.122095282845072582&type=3,1036844829507460_122129019423072582,😳😳,0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260737,Universe - Existencial 260737,122129029329072582,2026-06-11T01:49:33+0000,https://www.facebook.com/photo.php?fbid=122129029329072582&set=a.122095282845072582&type=3,1036844829507460_122129029371072582,Goals...,1,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260739,Universe - Existencial 260739,122129033715072582,2026-06-11T02:59:22+0000,https://www.facebook.com/photo.php?fbid=122129033715072582&set=a.122095282845072582&type=3,1036844829507460_122129033775072582,😎,2,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260741,Universe - Existencial 260741,122129076543072582,2026-06-11T05:15:43+0000,https://www.facebook.com/photo.php?fbid=122129076543072582&set=a.122095282845072582&type=3,1036844829507460_122129076597072582,🫣🫣🫣,1,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260742,Universe - Existencial 260742,122129206371072582,2026-06-11T17:17:25+0000,https://www.facebook.com/photo.php?fbid=122129206371072582&set=a.122095282845072582&type=3,1036844829507460_122129206443072582,😳,0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260740,Universe - Existencial 260740,122129214771072582,2026-06-11T18:59:41+0000,https://www.facebook.com/photo.php?fbid=122129214771072582&set=a.122095282845072582&type=3,1036844829507460_122129214813072582,😎,0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260744,Universe - Existencial 260744,122129224485072582,2026-06-11T21:49:57+0000,https://www.facebook.com/photo.php?fbid=122129224485072582&set=a.122095282845072582&type=3,1036844829507460_122129224533072582,😽,9,True,Visual_Review,Existing CNT or pending CNT assignment
260745,Universe - Existencial 260745,122129227707072582,2026-06-11T22:58:24+0000,https://www.facebook.com/photo.php?fbid=122129227707072582&set=a.122095282845072582&type=3,1036844829507460_122129227947072582,😏,1,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260747,Universe - Existencial 260747,122129231565072582,2026-06-12T00:25:57+0000,https://www.facebook.com/photo.php?fbid=122129231565072582&set=a.122095282845072582&type=3,1036844829507460_122129231601072582,o pedir follows 🫣,0,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260749,Universe - Existencial 260749,122130028845072582,2026-06-12T20:14:25+0000,https://www.facebook.com/photo.php?fbid=122130028845072582&set=a.122095282845072582&type=3,1036844829507460_122130028899072582,asi son... 😑,2,True,Visual_Confirmed,Existing CNT or pending CNT assignment
716,Universe - Existencial 716,122130031155072582,2026-06-12T21:02:19+0000,https://www.facebook.com/photo.php?fbid=122130031155072582&set=a.122095282845072582&type=3,1036844829507460_122130031401072582,volvi tonotos... Siganme para más contenido ✨,0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260750,Universe - Existencial 260750,122130040557072582,2026-06-12T23:39:26+0000,https://www.facebook.com/photo.php?fbid=122130040557072582&set=a.122095282845072582&type=3,1036844829507460_122130040593072582,Dime tu cual es la necesida...,1,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260748,Universe - Existencial 260748,122130043545072582,2026-06-13T01:03:36+0000,https://www.facebook.com/photo.php?fbid=122130043545072582&set=a.122095282845072582&type=3,1036844829507460_122130043761072582,¿Por que se enojo?😳😳,3,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260736,Universe - Existencial 260736,122130044913072582,2026-06-13T01:36:00+0000,https://www.facebook.com/photo.php?fbid=122130044913072582&set=a.122095282845072582&type=3,1036844829507460_122130044949072582,,14,False,Visual_Review,Existing CNT or pending CNT assignment
260751,Universe - Existencial 260751,122130048963072582,2026-06-13T03:21:33+0000,https://www.facebook.com/photo.php?fbid=122130048963072582&set=a.122095282845072582&type=3,1036844829507460_122130048999072582,😼😻,0,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260752,Universe - Existencial 260752,122130093285072582,2026-06-13T06:48:51+0000,https://www.facebook.com/photo.php?fbid=122130093285072582&set=a.122095282845072582&type=3,1036844829507460_122130102567072582,🫴,0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260754,Universe - Existencial 260754,122130223161072582,2026-06-13T23:05:33+0000,https://www.facebook.com/photo.php?fbid=122130223161072582&set=a.122095282845072582&type=3,1036844829507460_122130223203072582,Esa si es inteligencia artificial ...,4,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260646 - No sean asi.. (14-jun-26),260646 - No sean asi.. (14-jun-26),122130287829072582,2026-06-14T15:13:26+0000,https://www.facebook.com/photo.php?fbid=122130287829072582&set=a.122095282845072582&type=3,1036844829507460_122130287907072582,No sean asi.. 😆,0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260755,Universe - Existencial 260755,122130293727072582,2026-06-14T16:24:41+0000,https://www.facebook.com/photo.php?fbid=122130293727072582&set=a.122095282845072582&type=3,1036844829507460_122130293907072582,En algún lugar de Nubealis... ¿Le dicen ustedes o le digo yo? 🫣,1,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260757 - Maeve -  Estas seguro¿ (14-jun-26),260757 - Maeve -  Estas seguro¿ (14-jun-26),122130302739072582,2026-06-14T18:24:00+0000,https://www.facebook.com/photo.php?fbid=122130302739072582&set=a.122095282845072582&type=3,1036844829507460_122130302793072582,😏 obvio...,6,True,Visual_Review,Existing CNT or pending CNT assignment
260758,Universe - Existencial 260758,122130309303072582,2026-06-14T20:43:36+0000,https://www.facebook.com/photo.php?fbid=122130309303072582&set=a.122095282845072582&type=3,1036844829507460_122130309363072582,Yo quiero que gane Merlin! 😆⚽️,3,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260759,Universe - Existencial 260759,122130310749072582,2026-06-14T21:22:39+0000,https://www.facebook.com/photo.php?fbid=122130310749072582&set=a.122095282845072582&type=3,1036844829507460_122130310797072582,😎,0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260760,Universe - Existencial 260760,122130319587072582,2026-06-15T00:03:12+0000,https://www.facebook.com/photo.php?fbid=122130319587072582&set=a.122095282845072582&type=3,1036844829507460_122130319641072582,🤷‍♂️ #UniverseSentMe #vidareal #Relatable,2,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260761,Universe - Existencial 260761,122130326043072582,2026-06-15T02:48:56+0000,https://www.facebook.com/photo.php?fbid=122130326043072582&set=a.122095282845072582&type=3,1036844829507460_122130326151072582,😣🫣 #UniverseSentMe #IA #insight,0,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260762,Universe - Existencial 260762,122130330057072582,2026-06-15T04:14:10+0000,https://www.facebook.com/photo.php?fbid=122130330057072582&set=a.122095282845072582&type=3,1036844829507460_122130330195072582,🙂‍↕️ #UniverseSentMe #HumorÁcido #insight #Yo,0,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260763,Universe - Existencial 260763,122130334773072582,2026-06-15T06:13:50+0000,https://www.facebook.com/photo.php?fbid=122130334773072582&set=a.122095282845072582&type=3,1036844829507460_122130334833072582,🙃 #UniverseSentMe #Yo #insomnio,1,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260764,Universe - Existencial 260764,122130392745072582,2026-06-15T18:11:40+0000,https://www.facebook.com/photo.php?fbid=122130392745072582&set=a.122095282845072582&type=3,1036844829507460_122130392853072582,o en el que sigue del próximo... Universe Sent Me #insigth #vidareal #NoTeVayas,1,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260766,Universe - Existencial 260766,122130406509072582,2026-06-15T21:54:42+0000,https://www.facebook.com/photo.php?fbid=122130406509072582&set=a.122095282845072582&type=3,1036844829507460_122130406569072582,😇😈,1,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260765,Universe - Existencial 260765,122130411855072582,2026-06-15T23:35:48+0000,https://www.facebook.com/photo.php?fbid=122130411855072582&set=a.122095282845072582&type=3,1036844829507460_122130411897072582,😏,2,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260767,Universe - Existencial 260767,122130425001072582,2026-06-16T03:49:05+0000,https://www.facebook.com/photo.php?fbid=122130425001072582&set=a.122095282845072582&type=3,1036844829507460_122130425607072582,tienes que dejar... ✨ que todo caiga en su lugar. Universe Sent Me #vidadegato #mood #universointerior #reflexiones,1,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260756,Universe - Existencial 260756,122130892527072582,2026-06-16T14:15:45+0000,https://www.facebook.com/photo.php?fbid=122130892527072582&set=a.122095282845072582&type=3,1036844829507460_122130892707072582,Grumpy Cat Universe Sent Me #señales #artedigital #Existencia #vidadegato,2,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260768,Universe - Existencial 260768,122130899961072582,2026-06-16T15:56:11+0000,https://www.facebook.com/photo.php?fbid=122130899961072582&set=a.122095282845072582&type=3,1036844829507460_122130900021072582,🙄,0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
